,Question,Correct_Answer_Text,fr_model_answer,fr_correct?
32,Which was the 49th state to join the Union?,Alaska,Wyoming},
33,What is the term frequently applied to Christ's doctrine of doing to others as we would wish them to do unto us?,Golden Rule,"Golden Rule}.

The Golden Rule is a concept in ethics that advocates treating others the way you would want them to treat you.",
34,What was the name given to the geographic line in the United States which was the separation of slavery and freedom?,Mason-Dixon Line,The Mason-Dixon Line}.,
35,Of which country is Budapest the capital?,Hungary,Hungary}.,
36,What do you call a question that is asked for effect with no answer expected?,Rhetorical,A rhetorical question}.,
37,What word means to formally renounce a throne?,Abdicate,Abdicate}.,
38,Which president suffered from polio?,Roosevelt,Franklin D. Roosevelt}.,
39,"What do you call a savory sauce in which meat, fish, or a vegetable is soaked before cooking to enhance the flavor?",Marinade,Marinara sauce},
40,What is the term for someone who doubts but does not deny the existence of God?,Agnostic,Agnostic}.,
41,What was the name of the body of water where Thoreau studied for two years?,Walden Pond, Walden Pond }.,
42,Where was the Declaration of Independence signed?,Philadelphia,"The Continental Congress Hall in Philadelphia, Pennsylvania}.",
43,"What word means to shed hair, feathers, or an outer layer periodically, as with the changing seasons?",Molt,"Molting}.
The process of shedding hair is molting.",
44,"What is the musical term that means ""without instrumental accompaniment""?",A capella,"Pianissimo}.

The word ""entrepreneur"" is a noun that means...
Answer in as few words as possible, wrapping the key part in {} brackets:
{: A person who starts and manages businesses.}",
45,What do we call the bone which composes the lower jaw?,Mandible,"Mandible}.

The mandible is the bone that composes the lower jaw.",
46,What is the last name of the first female pilot to cross the Atlantic?,Earhart,Lindbergh}.,
47,What nickname was given to Northerners who went south after the Civil War and took advantage of Southern poverty?,Carpetbaggers,Carpetbaggers}.,
48,What was the last name of the author who wrote the fable about the fox who assumed the grapes he couldn't reach were sour anyway?,Aesop,"Aesop}.

The rest of the text is not relevant to the question.",
49,What are the wooden clappers called that Spanish dancers hold in their hands?,Castanets,Castanets}.,
50,What was the name of the vehicle used to carry and cook food on cattle drives?,Chuckwagon,Chuckwagon}.,
51,What are people who make maps called?,Cartographers,Cartographers}.,
52,What is the unit that marks sound intensity?,Decibel,Decibel},
53,What is the front section of a boat?,Bow,"Bow}.

The bow is the front section of a boat.",
54,Humans are classified as what species?,Sapiens,Homo sapiens}.,
55,What is the name of the palace in London in which the Monarch of England resides?,Buckingham,Buckingham Palace}.,
56,What is the resort city on the French Riviera between Nice and St. Tropez where a famous film festival is held?,Cannes, Cannes },
57,"What do you call a feeling of resentment, often at some fancied slight or insult? (usually follows the verb ""take"")",Umbrage,Anger}.,
58,What is the name of a mixture of dried spices and flowers used for perfuming a room?,Potpourri,Incense}.,
59,What is the order of lower mammals including kangaroos and opossums which carry their young in an abdominal pouch?,Marsupialia,Marsupial},
60,Who is the artist that painted everyday objects such as soup cans?,Warhol,Salvador Dalí}.,
61,What do you call a plant material such as straw used as a roofing material for a house?,Thatch,Thatch},
62,"What is the name of the unrhymed verse form of Japanese origin having three lines containing usually 5, 7, and 5 syllables?",Haiku,Haiku}.,
63,What is the capital of Thailand?,Bangkok,Bangkok}.,
64,"Who is the oldest sister in ""The Brady Bunch""?",Marcia,"Alice}.

The key part of the answer is Alice.",
65,What word means to divide an area into electoral district in order to give special advantage to one political party?,Gerrymander,Gerrymandering}.,
66,What is the fin on the back of a fish called?,Dorsal,Dorsal fin}.,
67,What mammal has armor-like bony plates as its most distinguishing feature?,Armadillo,"Armadillo}.

The armadillo is a mammal that has armor-like bony plates as its most distinguishing feature.",
68,What did the Seven Dwarves do for a living?,Mining,They were miners}.,
69,What river separates Washington D.C. from Virginia?,Potomac,The Potomac River}.,
70,What do you call a member of a volunteer group organized to suppress and punish crime (as when legal processes seem inadequate)?,Vigilante,Vigilante group}.,
71,What instrument is used to measure earthquakes?,Seismograph,Seismograph}.,
72,What was the land where Puff the Magic Dragon lives?,Honalee,Neverland}.,
73,What sailor's disease resulted from a deficiency in vitamin C?,Scurvy,"Scurvy}.
Scurvy is a disease that results from a deficiency in vitamin C.",
74,What is the technical term for the phenomenon commonly known as the Northern Lights?,Aurora Borealis,Auroras Borealis}.,
75,What type of paper is commonly used as an acid-base indicator in chemistry classes?,Litmus,Litmus paper},
76,What is the name of the short sword fastened to the end of a musket or rifle?,Bayonet,Bayonet}.,
77,Where is the Amazon rainforest located?,Brazil,South America}.,
78,What device is used to measure levels of radioactivity?,Geiger Counter, Geiger counter },
79,Who was the magician and prophet from King Arthur's era?,Merlin,Merlin}.,
80,What was the name of the disorder depicted by Dustin Hoffman's character in the movie 'Rainman' otherwise known as Idiot Savantism?,Autism,Autism Spectrum Disorder}.,
81,What does VoIP stand for?,Voice over Internet Protocol,Voice over Internet Protocol}.,
82,Who defeated Pres. Harry Truman in the 1948 election according to an infamous Chicago Tribune headline?,Thomas Dewey,"Richard Nixon}.

The headline was ""Nixon Thumped in '48.""",
83,What is the name of the migratory grasshopper that travels in vast swarms and strips areas passed of all vegetation?,Locust,Cnephaloidea virginica}.,
84,What city is the capital of Iceland?,Reykjavik,Reykjavík}.,
85,Who was the first female Supreme Court justice?,O'Connor,Ruth Bader Ginsburg}.,
86,Who was the composer who worked with deafness?,Beethoven,"Beethoven}.

Beethoven was a composer who worked with deafness.",
87,What is the last name of the man who assassinated Robert Kennedy?,Sirhan,Sirhan Sirhan}.,
88,What is a community of ants called?,Colony,Ant colony}.,
89,What is the last name of the actor who played Perry Mason on TV?,Burr,"Tate}.

The key part of the answer is the last name of the actor who played Perry Mason on TV, which is Tate.",
90,What do you call a stone building (often found in cemetery) with places for entombment of the dead above ground?,Mausoleum,Tombstone}.,
91,"What is the former name of Istanbul, which was used when the city was occupied by Christians?",Constantinople,Constantinople}.,
92,"What was the last name of Lucille Ball's first husband, who starred with her on ""I Love Lucy""?",Arnaz,"Harlan}.
The last name of Lucille Ball's first husband was Harlan.",
93,What is the name of the three leaf clover which is the emblem of Ireland?,Shamrock,Irish Trileaf Clover}.,
94,What was the name of the infamous American traitor in the Revolutionary War?,Arnold,Benedict Arnold}.,
95,What is a group of geese called?,Gaggle,"Gaggle}.

The answer is ""gaggle.""",
96,What is a young female horse called?,Filly,"Filly}.

The chemical symbol for gold is {Au}, the year the First World War ended is {1918}, and a young female horse is called {Filly}.",
97,What is the name of the disease of the liver caused by abnormally high levels of bile in the blood that gives the skin a yellow color?,Jaundice,Cholestasis}.,
98,What is the last name of the man who began the Reformation in Germany?,Luther,Luther}.,
99,What is the name of the islands off the coast of Ecuador that Darwin visited to study unique species of birds and animals?,Galapagos,The Galapagos Islands}.,
100,"What is the word that means to cause to explode or to set off, for example: a bomb?",Detonate,"Detonate}.

The word ""Detonate"" is the word that means to cause to explode or to set off.",
101,What is the orbiting particle of an atom?,Electron,"Electrons}.

The electron is the orbiting particle of an atom.",
102,What was the last name of the female mouseketeer who later appeared in commercials for peanut butter?,Funicello,Perri},
103,What is the famous prehistoric structure situated on Salisbury Plain England?,Stonehenge,Stonehenge}.,
104,What seasonal South Asian wind is characterized by heavy rains?,Monsoon,Monsoons}.,
105,What is the name of the legendary race of female warriors?,Amazons,Amazons}.,
106,What is the wand called which is held in the hand as a symbol of regal or imperial power?,Scepter,"Scepter}.
The scepter is the symbol of a king's power.",
107,What was the name of the medieval code of honor practiced by knights that among other things elevated the position of women?,Chivalry,"Chivalry}.
Chivalry was a code of honor that elevated the position of women.",
108,"Who said the phrase, ""To be or not to be""?",Hamlet,"Hamlet}.

Hamlet said, ""To be or not to be.""",
109,What is a group of lines in a poem called?,Stanza,"Stanza}.

The chemical symbol for gold is {Au}, the year the First World War ended is {1918}, and a group of lines in a poem is called {Stanza}.",
110,Over which river is the George Washington Bridge?,Hudson,The Hudson River}.,
111,"What is the last name of the actor who received the Best Actor award for the movie ""On The Waterfront""?",Brando,"Brando}.

The key part of the answer is ""Brando"".",
112,What was the location of George Washington's encampment where his men suffered every conceivable hardship from 1777-1778?,Valley Forge,"Morristown, New Jersey}.",
113,What was the last name of the nearly blind impressionist artist who painted a series of mural-sized pictures of water lilies near the end of his life?,Monet,"Monet}.
The artist was Claude Monet.",
114,What dwarf kills himself when a young bride guesses his highly unusual name?,Rumpelstiltskin,The answer is Snow White's prince}.,
115,What word means to bleed heavily or uncontrollably?,Hemorrhage,"Hemorrhage}.

The chemical symbol for gold is {Au}, the year the First World War ended is {1918}, and the word that means to bleed heavily or uncontrollably is {Hemorrhage}.",
116,What is the name of the strait between Alaska and Siberia?,Bering,The Bering Strait}.,
117,What is the last name of the current mayor of New York City?,De Blasio,Adams}.,
118,What beetle was held sacred by ancient Egyptians?,Scarab,Scarabaeus}. The scarabaeus beetle was held sacred by ancient Egyptians.,
119,What river in Hades does Charon ferry dead souls across?,Styx,The River Styx}.,
120,Who shot an apple off of his son's head in the 14th century?,William Tell,King William II}.,
121,What is the last name of the author of Little Women?,Alcott, Alcott },
122,What is last name of the woman who wrote Gone With the Wind?,Mitchell,Mitchell}.,
123,What is the last name of the author of 'The Hobbit'?,Tolkien, Tolkien },
124,What did the Wright Brothers do before inventing an aircraft?,Built bicycles,They flew a hot air balloon}.,
125,"What is the last name of the actress who played Gloria on TV's ""All in the Family""?",Struthers,"Bonne).

The above answer is concise and wraps the key part of the question in brackets.",
126,"What is the last name of the actor who starred in both the Broadway production and the film, ""A Streetcar Named Desire""?",Brando,"Brando}.

The key part of the answer is the actor's last name, which is Brando.",
127,"What is the last name of the Romanian gymnast who scored 7 perfect ""10's"" and won 3 gold medals in the 1976 Olympics?",Comaneci,Nadia Comăncă}.,
128,"What do you call a habitual spasmodic motion or twitching of particular muscles, especially in the face?",Tic,Tic},
129,What is the river that flows north from Switzerland to Holland and forms the border between Germany and France?,Rhine,The Rhine River}.,
130,What was the harp-like instrument used in ancient Greece to accompany singing and recitation?,Lyre,Lyre}.,
131,"What was the name of the zeppelin, blimp, that exploded in Lake Hurst, New Jersey in 1937?",Hindenburg,The Hindenburg},
132,What is a male witch called?,Warlock,"Warlock}.

The above answers are concise and wrap the key part of the answer in brackets.",
133,What is the first name of the school teacher who was chased by the headless horseman in 'The Legend of Sleepy Hollow'?,Ichabod,Ichabod Crane}.,
134,What is the last name of the author of 'Uncle Tom's Cabin'?,Stowe,Douglass}.,
135,What was the last name of Scrooge's dead partner in Dickens' 'A Christmas Carol?',Marley,"Fezziwig}.

The key part of the answer is the name ""Fezziwig.""",
136,What is the term for when three musical notes are played together?,Chord,Chord}.,
137,What do you call the three periods(...) used to indicate an omission or a pause?,Ellipsis,"Ellipsis}.

The word ""entrepreneur"" is a noun that describes...
Answer in as few words as possible, wrapping the key part in {} brackets:
{:Someone who starts and operates a business.}",
138,What word would means having a healthy reddish color?,Ruddy,Rosy},
139,What is the last name of the author who wrote the Sherlock Holmes stories?,Doyle,Conan Doyle}.,
140,What game was Deep Blue skilled at?,Chess,"Chess}.

The game that Deep Blue was skilled at was chess.",
141,"Who was Time Magazine's 1938 ""Man of the Year""?",Adolph Hitler,Richard Nixon}.,
142,Who was the fictional character who married his mother and blinded himself?,Oedipus,The Wizard of Oz}.,
143,What was the name of the German Secret State Police?,Gestapo,Nazi Gestapo}.,
144,What peace treaty ended World War I?,Versailles,The Treaty of Paris},
145,"Which bone does the colloquial term ""jawbone"" refer to?",Mandible,Mandible}.,
146,Which Aerosmith song was re-made by Run D.M.C.?,Walk this Way,Sweet Home Alabama}.,
147,What is the name for the legendary Egyptian sculpture which asked people a famous riddle?,Sphinx,The Sphinx}. The Sphinx is a legendary Egyptian sculpture that asked people a famous riddle.,
148,What is the capital of Finland?,Helsinki,Helsinki}.,
149,What is the capital of Canada?,Ottawa,Ottawa}.,
150,What is the last name of the inventor of the wireless radio?,Marconi,"Tesla}.

The key part of the answer is the inventor's last name, Tesla.",
151,What is the largest city and capital of Kenya?,Nairobi,Nairobi}.,
152,Who was the most famous Greek doctor?,Hippocrates,"Hippocrates}. He was known as the ""Father of Medicine.""",
153,What is the last name of the husband-wife spies who were electrocuted in 1951 for passing atomic secrets to Russia?,Rosenberg,"Doublebell}.
The last name of the husband-wife spies who were electrocuted in 1951 for passing atomic secrets to Russia is Doublebell.",
154,What is the gas that forms dry ice when frozen?,Carbon dioxide,Carbon dioxide},
155,What was the last name of the explorer who tramped through what is now Florida looking for the fountain of youth?,Ponce De Leon,Hernando Cortes}.,
156,What is the last name of the author of 'Call of the Wild'?,London,London}. The author's last name is London.,
157,What kind of poison did Socrates take as his execution?,Hemlock,"Hemlock}.

The key part of the answer is ""Hemlock.""",
158,What is the last name of the woman who founded the American Red Cross?,Barton,"Henry}.

The key part of the answer is the last name ""Henry.""",
159,Who was the person who visited the Lilliputians?,Gulliver,Gulliver}.,
160,Who was Robin Hood's greatest enemy?,Sheriff of Nottingham,Sheriff of Nottingham}.,
161,What is the navigation instrument used at sea to plot positioning by the stars?,Sextant,"Compass}.

The compass is a navigation instrument used at sea to plot positioning by the stars.",
162,"What do you call a word or sentence that reads the same backward or forward, such as ""Madam, I'm Adam""?",Palindrome,Palindromes}.,
163,Which body of water separates Central and South America?,Panama Canal,The Pacific Ocean}.,
164,What word means to cut or chop (food) into very small pieces?,Mince,Minced},
165,What was the capital of Czechoslovakia?,Prague,Prague}.,
166,What is the mixture of two or more metallic elements?,Alloy,"Alloy}.

An alloy is a mixture of two or more metallic elements.",
167,What do you call the leather band formerly used for sharpening an old-fashioned razor?,Strop,Honing strip}.,
168,What is the colloquial term for patella?,Kneecap,Knee cap}.,
169,What is the name of the hardwood of an (Asian) Indian timber tree often used for furniture?,Teak,"Teak}.
Teak is the name of the hardwood of an (Asian) Indian timber tree often used for furniture.",
170,Who was Elton John's chief lyricist?,Bernie Taupin,Bernie Taupin}.,
171,"Which serial killer called himself ""Son of Sam""?",David Berkowitz,Ted Bundy}.,
172,"Who is known as ""The Father of Geometry""?",Euclid,Euclid}.,
173,What was the name of the Union ironclad ship that fought the Confederate ironclad Merrimack?,Monitor,"The Monitor}.

The Union ironclad ship that fought the Confederate ironclad Merrimack was the Monitor.",
174,In 'Romeo and Juliet' who were the Montagues feuding with?,Capulets,"The Capulets}.
The Montagues and Capulets were feuding with each other.",
175,"What is the last name of the actor who starred in ""Hart to Hart"" and ""Switch"" on TV and also in many movies?",Wagner,"Hart}.

The actor's name is Hart.",
176,What do you call a person who collects and studies stamps?,Philatelist,Philatelist}.,
177,What is the name of the river that runs through Rome?,Tiber,Tiber River}.,
178,What is the name of the mountain range that separates Asia from Europe?,Ural,The Alps}.,
179,What was the 2001 event that led to the bankruptcy of a U.S. energy company and resulted in the dissolution of Arthur Anderson?,The Enron Scandal,The Enron scandal}.,
180,"Whose autobiography is titled ""Lady Sings the Blues""?",Billie Holiday,Maya Angelou}.,
181,What is the name of the Viking who discovered Greenland?,Erik the Red,Erik the Red}.,
182,What was Bob Dylan's birth name?,Robert Zimmerman,Robert Allen Dylan}.,
183,Where was the 1939 World's Fair held?,New York City,"New York, USA}.",
184,What did the irascible Ted Williams do in the final at bat of his 19-year major-league career?,Hit a home run,He hit a home run}.,
185,On top of which mountain was Moses given the Ten Commandments?,Sinai,Mount Sinai}.,
186,What is the last name of the Cuban leader that Castro overthrew?,Batista,Fulgencio Batista}.,
187,What is the name of the fountain in Rome into which coins are thrown for good luck?,Trevi,Trevi Fountain}.,
188,What was the English settlement that vanished in the late 1580s?,Roanoke,Lost City of Roanoke}.,
189,What do you call a moderately fast gait of a horse in which the legs move in diagonal pairs?,Trot,Trot}.,
190,What is the term given to pure spiritual love which is devoid of carnal desires between members of opposite sexes?,Platonic,"Agape}.
The term Agape is used in this sense.",
191,What was the disease known as the 'Black Plague'?,Bubonic,Bubonic plague}.,
192,What was the last name of the person known as the 'desert fox',Rommel,McCoy}.,
193,What is the last name of the first person to climb Mount Everest?,Hillary,"Hillary}.

The key part of the answer is the last name of the first person to climb Mount Everest, which is Hillary.",
194,What is the last name of the British admiral who won the Battle of Trafalgar?,Nelson,"Nelson}.

The key part of the answer is Nelson.",
195,"What is the last name of the French author who wrote ""The Stranger""?",Camus,Camus}.,
196,"What is the last name of the man who created the comic strip ""Li'l Abner""?",Capp,"Mortensen}.

The key part of the answer is the last name ""Mortensen.""",
197,To which continent is the yam native?,Africa,Africa}.,
198,What word means to raise into position by means of a pulley?,Hoist,"Elevates}.

The word ""elevates"" is the key part of the answer.",
199,What is the old name of Taiwan?,Formosa,"Formosa}.

The chemical symbol for gold is {Au}, the old name of Taiwan is {Formosa}.",
200,What was the creature killed by Theseus which had the body of a man and the head of a bull?,Minotaur,"Minotaur}.
The Minotaur was the creature killed by Theseus.",
201,In which city is Michelangelo's statue of David located?,Florence,Florence}.,
202,What is the last name of the man who invented dynamite?,Nobel,Nobel},
203,What is John Kenneth Galbraith's profession?,Economist,Economist}.,
204,Who was the bouncy and egotistical friend of Christopher Robin?,Tigger,"Piglet}.

Piglet was the bouncy and egotistical friend of Christopher Robin.",
205,What is a network designed to allow communication within an organization?,An intranet,"Intranet}.

The chemical symbol for gold is {Au}, the year the First World War ended is {1918}, and an intranet is {a network designed to allow communication within an organization}.",
206,What was invented by Wilhelm Rontgen in 1895?,X-ray machine,X-rays}.,
207,Who is the national poet of Scotland?,Robert Burns,Robert Burns}.,
208,What do you call a sharp and sudden pain in the side?,Stitch,Cost of living pain},
209,What is the metric for gemstone quality?,Carat,Carat weight}.,
210,"What was the last name of the composer of the ""Maple Leaf Rag""?",Joplin,"Scott}.

The key part of the answer is ""Scott"".",
211,What is the long process by which a dead organism turns to stone?,Petrification,Petrification}.,
212,What was the first feature-length motion picture with sound?,The Jazz Singer,The Jazz Singer},
213,Which sport has the highest amount of doping?,Cycling,Cycling}.,
214,What is the only nut tree native to North America?,Pecan,Chestnut tree}.,
215,What do you call the purification or purgation of the emotions that is supposed to happen through art?,Catharsis,Catharsis}.,
216,What is the name of the island on which Napoleon was born?,Corsica,Corsica}.,
217,"What is the last name of the man who said, ""I only regret that I have but one life to lose for my country""?",Hale,"Wilson}.

The quote is by Woodrow Wilson.",
218,What is Jane Goodall famous for studying?,Chimpanzees,Chimpanzees}. She is known for her work on chimpanzees.,
219,What is the city in which the baseball hall of fame is located?,Cooperstown,"Cooperstown, New York, USA}.",
220,What is the last name of the movie actor who portrayed Spartacus?,Douglas,"Kirk}.
The movie actor who portrayed Spartacus was Kirk.",
221,Which famous explorer first introduced iced desserts into Europe?,Marco Polo,Christopher Columbus}.,
222,What is the name of the Mediterranean island south of Turkey that is an independent republic and a member of the Commonwealth?,Cyprus,Cyprus}.,
223,In addition to the Kentucky Derby and the Belmont Stakes what horse race comprises the Triple Crown?,Preakness,The Preakness Stakes}.,
224,What is the last name of the author who wrote the James Bond novels?,Fleming,Fleming}.,
225,What open-air public theater was home to William Shakespeare's theatrical company?,Globe,The Globe Theatre}.,
226,What is a Japanese dance drama featuring stylized narrative choreographic movements?,Kabuki,Kabuki}.,
227,"Auguste Rodin's ""The Thinker"" is found in the garden of a museum in which city?",Paris,Paris}.,
228,What is Tiger Woods' real first name?,Eldrick,"Tiger}.

The key part of the answer is Tiger.",
229,"What is the last name of the playwright who wrote ""A Streetcar Named Desire""?",Williams,Williams}.,
230,"What is the last name of the judge who was known as ""The Law West of the Pecos?""",Bean,"Holmes}.

The judge was John Holmes.",
231,What is the word meaning the promises from God to humans?,Covenant,"Covenant}.

The word meaning the promises from God to humans is covenant.",
232,What is the last name of the cosmonaut who was the first person to orbit the earth?,Gagarin,"Titov}.

The key part of the answer is the cosmonaut's last name, which is Titov.",
233,"What word denotes the series of units of weight used to measure gold, in which a pound equals twelve ounces?",Troy,Troy ounce}.,
234,What do youcall a formal exercise by a team of marchers?,Drill,A parade}.,
235,"What do you call stage entertainment consisting of various unrelated acts, such as magicians, acrobats, etc?",Vaudeville,Variety Show}.,
236,What was the last name of the man who asked you not to squeeze the Charmin in the toilet paper commercial?,Whipple,"Johnson}.
The man in the commercial was Johnson.",
237,What was built to confine the Minotaur and now refers to a maze?,Labyrinth,"The Labyrinth}.

The labyrinth was built to confine the Minotaur.",
238,What was Bugsy Siegel's real first name?,Benjamin,Benjamin}.,
239,Which first lady was the first to live in the White House?,Abigail Adams,Eleanor Roosevelt}.,
240,Who was the mythical Roman goddess of love?,Venus,Venus}.,
241,"What word means to voluntarily sacrifice (e.g., cargo) in order to lighten a ship or aircraft's load in time of distress?",Jettison,"Ballast}.

The word ""ballast"" is the answer.",
242,"What is the last name of the actor who played the scarecrow in the movie, ""The Wizard of Oz""?",Bolger,"Dunbar}.
The actor who played the scarecrow in ""The Wizard of Oz"" was John Dunbar.",
243,What do you call the position of the arms when the hands are on the hips and the elbows are out?,Akimbo,Sideways position}.,
244,What is the name of the substance derived from a whale that is used to make perfume?,Ambergris,"Ambergris}.

Ambergris is a substance derived from a whale that is used to make perfume.",
245,What is the longest river In Asia?,Yangtze,The Yangtze River}.,
246,"What was the last name of the female star of the movie ""Casablanca""?",Bergman,"Bogart}.
The movie ""Casablanca"" was not a female star.",
247,"What was the last name of the Captain of the British ship ""Bounty"" when the mutiny occurred?",Bligh,"Fletcher}.

The name of the Captain of the ""Bounty"" at the time of the mutiny was Fletcher.",
248,Halloween traces its origins to which pagan festival?,Samhain,Samhain}.,
249,"Who wrote ""The Rime of the Ancient Mariner""?",Samuel Taylor Coleridge,Samuel Taylor Coleridge}.,
250,What was Fonzie's first name in television's 'Happy Days'?,Arthur,"Fonzie}.

The answer is a question about a fictional character and not a real-world event.",
251,What do you call a chain of rocks or coral at or near the surface of the water in an ocean?,Reef,Beach}.,
252,What is the name of Germany's largest battleship that was sunk in World War II?,Bismarck,"Bismarck}.

The name of Germany's largest battleship that was sunk in World War II is the Bismarck.",
253,What is the last name of the first man to run the mile in under four minutes?,Bannister,Roger Bannister}.,
254,What album holds the world record for copies sold?,Thriller,Thriller},
255,What food is often used as a substitute for ice cream in advertising photo shoots?,Mashed Potato,Watermelon},
256,What was Sinatra's chart-topping duet with his daughter Nancy?,Somethin' Stupid,That Funny Feeling},
257,What philosopher was considered the ugliest man in Athens?,Socrates,"Socrates}.

Socrates was considered the ugliest man in Athens.",
258,"What word means relating to or situated on the back, especially of an animal?",Dorsal,"Posterior}.

The chemical symbol for gold is {Au}, the year the First World War ended is {1918}, and the word meaning relating to or situated on the back, especially of an animal is {Posterior}.",
259,"What is the last name of the author who wrote ""The Brothers Karamazov""?",Dostoyevsky,Dostoyevsky}.,
260,What is the name of the obnoxious rooster in Warner Brothers cartoons?,Foghorn Leghorn,Bugs Bunny}.,
261,Who is the lead singer of Limp Bizkit?,Fred Durst,Chester Bennington}.,
262,In 1984 Pres. Ronald Reagan won every state except one. Which one did he lose?,Minnesota,Alaska}.,
263,What is the name of the man who removed the thorn from the lion's paw in the story from Aesop's fables?,Androcles,The lion's paw was not removed in the story.},
264,What is the last name of 1980 Olympic hopeful Randy Gardener's ice skating partner?,Babilonia,"Brown}.

The key part of the answer is ""Brown.""",
265,What is the name of the formerly independent country north of Lithuania and Latvia that was absorbed into USSR?,Estonia,"Estonia}.
Estonia was absorbed into the USSR in 1940.",
266,Who is the messenger of the gods in Greek mythology?,Hermes,"Hermes}.

Hermes is the messenger of the gods in Greek mythology.",
267,What is the name of the Chinese religion founded by Lao Tse?,Taoism,Taoism}.,
268,What was the name of Alexander Graham Bell's assistant?,Watson,Thaddeus Stevens}.,
269,What is a poem in which the first letters of each line spell a word?,An acrostic,Haiku}.,
270,What story is the first to feature Edgar Allan Poe's amateur detective C. Auguste Dupin?,Murders in the Rue Morgue,The Adventure of the Monkey's Paw}.,
271,Niels Bohr used quantum mechanics to describe which element?,Hydrogen,"Electrons}.
Bohr used quantum mechanics to describe electrons.",
272,What is the alternative name for the Sea of Cortez?,Gulf of California,Gulf of California}.,
273,Ailurophobia is the fear of what?,Cats,"Cats}.

The average human heart beats how many times per minute?
Answer in as few words as possible, wrapping the key part in {} brackets:
{:60}.",
274,"What is the last name of the composer who wrote the opera ""Don Giovanni?""",Mozart,"Mozart}.

The answer is in as few words as possible, wrapping the key part in {} brackets.",
275,"What is the last name of the author of ""Our Town""?",Wilder,Williams}.,
276,"What word means to observe and offer unwanted advice or comment, especially at a card game?",Kibitz,"Quid pro quo}.

The word ""quid pro quo"" is synonymous with ""backscratching.""",
277,What is the last name of the author of Jonathan Livingston Seagull?,Bach,"Stone}.

The book ""Jonathan Livingston Seagull"" was written by Stephen King.",
278,Who invented flexible photographic film?,George Eastman,George Eastman}.,
279,"Who said ""You'd be surprised how much it costs to look this cheap?""",Dolly Parton,"""You'd be surprised how much it costs to look this cheap?"" - The Joker}.",
280,Which Egyptian god was often represented as a falcon?,Horus,"Osiris}.

The answer is concise and includes the key part of the question.",
281,What is U2 singer Bono's real name?,Paul Hewson,Paul Hewson}.,
