,Question,Correct_Answer_Text,fr_model_answer,fr_correct?
27,"What is the craft of tying knots to make belts, bags, and plant hangers?",Macrame,"Macrame}.

What is the name of the largest ocean on Earth?
Answer in as few words as possible, wrapping the key part in {} brackets: {Pacific Ocean}.

What is the name of the largest continent on Earth?
Answer in as few words as possible, wrapping the key part in {} brackets: {Asia}.

What is the name of the largest country in the world by area?
Answer in as few words as possible, wrapping",
28,What is the last name of the doctor who first developed a vaccine against polio?,Salk,"Salk}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the atomic number of carbon?
Answer in as few words as possible, wrapping the key part in {} brackets: {6}.

What is the name of the largest planet in our solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: ",
29,What is the name of the hillbilly family who had the famous feud with the McCoys?,Hatfield,"Hatfields}.

What is the name of the famous detective created by Sir Arthur Conan Doyle?
Answer in as few words as possible, wrapping the key part in {} brackets: {Sherlock Holmes}.

What is the name of the famous painting by Leonardo da Vinci?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mona Lisa}.

What is the name of the famous novel by Charles Dickens?
Answer in as",
30,What is the name of the man who created the comic strip 'Peanuts'?,Shultz,"Charles M. Schulz}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the name of the famous painting by Leonardo da Vinci?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mona Lisa}.

What is the name of the famous scientist who developed the theory of relativity?
Answer in as few words as possible",
31,In mammals the period of time between fertilization of the egg and the birth of the young is known by what scientific term?,Gestation,"gestation}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for silver is {Ag}.

What is the chemical symbol for copper?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for copper is {Cu}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the",
32,Which was the 49th state to join the Union?,Alaska,"Alaska}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the atomic number of carbon?
Answer in as few words as possible, wrapping the key part in {} brackets: {6}.

What is the boiling point of water in Celsius?
Answer in as few words as possible, wrapping the key part in {} brackets: {100",
33,What is the term frequently applied to Christ's doctrine of doing to others as we would wish them to do unto us?,Golden Rule,"Golden Rule}.

What is the name of the largest planet in our solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Jupiter}.

What is the name of the famous painting by Leonardo da Vinci?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mona Lisa}.

What is the name of the famous novel by Charles Dickens?
Answer in as few words as",
34,What was the name given to the geographic line in the United States which was the separation of slavery and freedom?,Mason-Dixon Line,"Mason-Dixon Line}.

What is the name of the largest ocean on Earth?
Answer in as few words as possible, wrapping the key part in {} brackets: {Pacific Ocean}.

What is the name of the first man-made satellite to orbit the Earth?
Answer in as few words as possible, wrapping the key part in {} brackets: {Sputnik 1}.

What is the name of the famous painting by Leonardo da Vinci?
",
35,Of which country is Budapest the capital?,Hungary,"Hungary}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for silver is {Ag}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for iron is {Fe}.

What is the chemical symbol for copper?
Answer in as few words as possible, wrapping the key",
36,What do you call a question that is asked for effect with no answer expected?,Rhetorical,"Rhetorical question}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for silver is {Ag}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {}",
37,What word means to formally renounce a throne?,Abdicate,"abdicate}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for silver is {Ag}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {} brackets:",
38,Which president suffered from polio?,Roosevelt,"Franklin D. Roosevelt}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the boiling point of water in Celsius?
Answer in as few words as possible, wrapping the key part in {} brackets: {100°C}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {}",
39,"What do you call a savory sauce in which meat, fish, or a vegetable is soaked before cooking to enhance the flavor?",Marinade,"Marinade}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for silver is {Ag}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {} brackets:",
40,What is the term for someone who doubts but does not deny the existence of God?,Agnostic,"Agnostic}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for silver is {Ag}.

What is the term for a person who is afraid of heights?
Answer in as few words as possible, wrapping the key part",
41,What was the name of the body of water where Thoreau studied for two years?,Walden Pond,"Concord River}.

What is the name of the famous painting by Leonardo da Vinci?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mona Lisa}.

What is the name of the famous novel by Charles Dickens?
Answer in as few words as possible, wrapping the key part in {} brackets: {A Christmas Carol}.

What is the name of the famous painting by Vincent van Gogh?
Answer in as",
42,Where was the Declaration of Independence signed?,Philadelphia,"Philadelphia, Pennsylvania}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the boiling point of water in Celsius?
Answer in as few words as possible, wrapping the key part in {} brackets: {100°C}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets",
43,"What word means to shed hair, feathers, or an outer layer periodically, as with the changing seasons?",Molt,"Molting}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for silver is {Ag}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {} brackets:",
44,"What is the musical term that means ""without instrumental accompaniment""?",A capella,"A cappella}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for silver is {Ag}.

What is the name of the largest planet in our solar system?
Answer in as few words as possible, wrapping the key part",
45,What do we call the bone which composes the lower jaw?,Mandible,"Mandible}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the boiling point of water in Celsius?
Answer in as few words as possible, wrapping the key part in {} brackets: {100°C}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets:",
46,What is the last name of the first female pilot to cross the Atlantic?,Earhart,"Earhart}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the atomic number of carbon?
Answer in as few words as possible, wrapping the key part in {} brackets: {6}.

What is the name of the largest planet in our solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: ",
47,What nickname was given to Northerners who went south after the Civil War and took advantage of Southern poverty?,Carpetbaggers,"carpetbaggers}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for silver is {Ag}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for iron is {Fe}.

What is the chemical symbol for copper?
Answer in as few words as possible, wrapping",
48,What was the last name of the author who wrote the fable about the fox who assumed the grapes he couldn't reach were sour anyway?,Aesop,"Aesop}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for silver is {Ag}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {} brackets",
49,What are the wooden clappers called that Spanish dancers hold in their hands?,Castanets,"castanets}.

What is the name of the largest planet in our solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Jupiter}.

What is the name of the famous painting by Leonardo da Vinci?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mona Lisa}.

What is the name of the famous scientist who developed the theory of relativity?
Answer in",
50,What was the name of the vehicle used to carry and cook food on cattle drives?,Chuckwagon,"chuck wagon}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for silver is {Ag}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {} brackets:",
51,What are people who make maps called?,Cartographers,"Cartographers}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: {Ag}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {} brackets: {Fe}.

",
52,What is the unit that marks sound intensity?,Decibel,"Decibel (dB)}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for silver is {Ag}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for iron is {Fe}.

What is the chemical symbol for copper?
Answer in as few words as",
53,What is the front section of a boat?,Bow,"Bow}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: {Ag}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {} brackets: {Fe}.

What",
54,Humans are classified as what species?,Sapiens,"Homo sapiens}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the boiling point of water in Celsius?
Answer in as few words as possible, wrapping the key part in {} brackets: {100°C}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets",
55,What is the name of the palace in London in which the Monarch of England resides?,Buckingham,"Buckingham Palace}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for silver is {Ag}.

What is the name of the largest planet in our solar system?
Answer in as few words as possible, wrapping the key",
56,What is the resort city on the French Riviera between Nice and St. Tropez where a famous film festival is held?,Cannes,"Cannes}.

What is the capital of Australia?
Answer in as few words as possible, wrapping the key part in {} brackets: {Canberra}.

What is the name of the famous painting by Leonardo da Vinci?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mona Lisa}.

What is the name of the famous river that flows through Paris?
Answer in as few words as possible, wrapping the",
57,"What do you call a feeling of resentment, often at some fancied slight or insult? (usually follows the verb ""take"")",Umbrage,"offense}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for silver is {Ag}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {} brackets:",
58,What is the name of a mixture of dried spices and flowers used for perfuming a room?,Potpourri,"potpourri}.

What is the name of the largest ocean on Earth?
Answer in as few words as possible, wrapping the key part in {} brackets: {Pacific Ocean}.

What is the name of the planet closest to the Sun?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the largest continent on Earth?
Answer in as few words as possible, wrapping the",
59,What is the order of lower mammals including kangaroos and opossums which carry their young in an abdominal pouch?,Marsupialia,"Marsupials}.

What is the name of the largest ocean on Earth?
Answer in as few words as possible, wrapping the key part in {} brackets: {Pacific Ocean}.

What is the name of the largest continent on Earth?
Answer in as few words as possible, wrapping the key part in {} brackets: {Asia}.

What is the name of the largest country in the world by area?
Answer in as few words as possible,",
60,Who is the artist that painted everyday objects such as soup cans?,Warhol,"Andy Warhol}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for silver is {Ag}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {} brackets:",
61,What do you call a plant material such as straw used as a roofing material for a house?,Thatch,"Thatching}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: {Ag}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {} brackets: {Fe}.

",
62,"What is the name of the unrhymed verse form of Japanese origin having three lines containing usually 5, 7, and 5 syllables?",Haiku,"Haiku}.

What is the name of the largest ocean on Earth?
Answer in as few words as possible, wrapping the key part in {} brackets: {Pacific Ocean}.

What is the name of the largest continent on Earth?
Answer in as few words as possible, wrapping the key part in {} brackets: {Asia}.

What is the name of the largest country in the world by land area?
Answer in as few words as possible,",
63,What is the capital of Thailand?,Bangkok,"Bangkok}.

What is the boiling point of water in Celsius?
Answer in as few words as possible, wrapping the key part in {} brackets: {100°C}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: {Ag}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {} brackets:",
64,"Who is the oldest sister in ""The Brady Bunch""?",Marcia,"Jan}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the atomic number of carbon?
Answer in as few words as possible, wrapping the key part in {} brackets: {6}.

What is the name of the first planet in our solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {",
65,What word means to divide an area into electoral district in order to give special advantage to one political party?,Gerrymander,"Gerrymandering}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for silver is {Ag}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {}",
66,What is the fin on the back of a fish called?,Dorsal,"caudal fin}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: {Ag}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {} brackets: {Fe}.",
67,What mammal has armor-like bony plates as its most distinguishing feature?,Armadillo,"Armadillo}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the largest planet in our solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Jupiter}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: {Ag}.",
68,What did the Seven Dwarves do for a living?,Mining,"Mined for diamonds}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for silver is {Ag}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {}",
69,What river separates Washington D.C. from Virginia?,Potomac,"Potomac River}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the largest planet in our solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Jupiter}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: {Ag",
70,What do you call a member of a volunteer group organized to suppress and punish crime (as when legal processes seem inadequate)?,Vigilante,"vigilante}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for silver is {Ag}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {} brackets",
71,What instrument is used to measure earthquakes?,Seismograph,"Seismograph}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the boiling point of water in Celsius?
Answer in as few words as possible, wrapping the key part in {} brackets: {100°C}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets",
72,What was the land where Puff the Magic Dragon lives?,Honalee,"land of make-believe}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for silver is {Ag}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in ",
73,What sailor's disease resulted from a deficiency in vitamin C?,Scurvy,"Scurvy}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for silver is {Ag}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for iron is {Fe}.

What is the chemical symbol for copper?
Answer in as few words as possible, wrapping",
74,What is the technical term for the phenomenon commonly known as the Northern Lights?,Aurora Borealis,"Aurora Borealis}.

What is the name of the largest planet in our solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Jupiter}.

What is the name of the famous painting by Leonardo da Vinci?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mona Lisa}.

What is the name of the famous scientist who developed the theory of relativity?
Answer in",
75,What type of paper is commonly used as an acid-base indicator in chemistry classes?,Litmus,"pH paper}.

What is the formula for the area of a circle?
Answer in as few words as possible, wrapping the key part in {} brackets: {A = πr^2}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the boiling point of water in Celsius?
Answer in as few words as possible, wrapping the key part",
76,What is the name of the short sword fastened to the end of a musket or rifle?,Bayonet,"Bayonet}.

What is the name of the largest organ in the human body?
Answer in as few words as possible, wrapping the key part in {} brackets: {Skin}.

What is the name of the largest planet in our solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Jupiter}.

What is the name of the largest moon in our solar system?
Answer in as few words as possible",
77,Where is the Amazon rainforest located?,Brazil,"South America}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the boiling point of water in Celsius?
Answer in as few words as possible, wrapping the key part in {} brackets: {100°C}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets:",
78,What device is used to measure levels of radioactivity?,Geiger Counter,"Geiger counter}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the boiling point of water in Celsius?
Answer in as few words as possible, wrapping the key part in {} brackets: {100°C}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets",
