,Question,Correct_Answer_Text,fr_model_answer,fr_correct?
59,What is the order of lower mammals including kangaroos and opossums which carry their young in an abdominal pouch?,Marsupialia,mammals},
60,Who is the artist that painted everyday objects such as soup cans?,Warhol,Vincent van Gogh},
61,What do you call a plant material such as straw used as a roofing material for a house?,Thatch,straw},
62,"What is the name of the unrhymed verse form of Japanese origin having three lines containing usually 5, 7, and 5 syllables?",Haiku,Haiku},
63,What is the capital of Thailand?,Bangkok,Bangkok},
64,"Who is the oldest sister in ""The Brady Bunch""?",Marcia,Janet},
65,What word means to divide an area into electoral district in order to give special advantage to one political party?,Gerrymander,electoral district},
66,What is the fin on the back of a fish called?,Dorsal,fin},
67,What mammal has armor-like bony plates as its most distinguishing feature?,Armadillo,Tigers},
68,What did the Seven Dwarves do for a living?,Mining,The Seven Dwarves were miners.},
69,What river separates Washington D.C. from Virginia?,Potomac,Potomac},
70,What do you call a member of a volunteer group organized to suppress and punish crime (as when legal processes seem inadequate)?,Vigilante,police},
71,What instrument is used to measure earthquakes?,Seismograph,seismometer},
72,What was the land where Puff the Magic Dragon lives?,Honalee,The land where Puff the Magic Dragon lives is called {The Land of the Dragon},
73,What sailor's disease resulted from a deficiency in vitamin C?,Scurvy,scurvy},
74,What is the technical term for the phenomenon commonly known as the Northern Lights?,Aurora Borealis,aurora borealis},
75,What type of paper is commonly used as an acid-base indicator in chemistry classes?,Litmus,acid},
76,What is the name of the short sword fastened to the end of a musket or rifle?,Bayonet,Musket},
77,Where is the Amazon rainforest located?,Brazil,South America},
78,What device is used to measure levels of radioactivity?,Geiger Counter,Geiger counter},
79,Who was the magician and prophet from King Arthur's era?,Merlin,King Arthur},
80,What was the name of the disorder depicted by Dustin Hoffman's character in the movie 'Rainman' otherwise known as Idiot Savantism?,Autism,Idiot Savantism},
81,What does VoIP stand for?,Voice over Internet Protocol,VoIP},
82,Who defeated Pres. Harry Truman in the 1948 election according to an infamous Chicago Tribune headline?,Thomas Dewey,Truman},
83,What is the name of the migratory grasshopper that travels in vast swarms and strips areas passed of all vegetation?,Locust,Gryllus bimaculatus},
84,What city is the capital of Iceland?,Reykjavik,Reykjavik},
85,Who was the first female Supreme Court justice?,O'Connor,Olive) O. {Curtis},
86,Who was the composer who worked with deafness?,Beethoven,Brahms},
87,What is the last name of the man who assassinated Robert Kennedy?,Sirhan,Kennedy},
88,What is a community of ants called?,Colony,Ant colony},
89,What is the last name of the actor who played Perry Mason on TV?,Burr,William Hopper},
90,What do you call a stone building (often found in cemetery) with places for entombment of the dead above ground?,Mausoleum,graveyard},
91,"What is the former name of Istanbul, which was used when the city was occupied by Christians?",Constantinople,Constantinople},
92,"What was the last name of Lucille Ball's first husband, who starred with her on ""I Love Lucy""?",Arnaz,Lucille Ball},
93,What is the name of the three leaf clover which is the emblem of Ireland?,Shamrock,The Three Leaved Clover},
94,What was the name of the infamous American traitor in the Revolutionary War?,Arnold,Percy},
95,What is a group of geese called?,Gaggle,geese},
96,What is a young female horse called?,Filly,mare},
97,What is the name of the disease of the liver caused by abnormally high levels of bile in the blood that gives the skin a yellow color?,Jaundice,Cholestasis},
98,What is the last name of the man who began the Reformation in Germany?,Luther,Luther},
99,What is the name of the islands off the coast of Ecuador that Darwin visited to study unique species of birds and animals?,Galapagos,Galapagos},
100,"What is the word that means to cause to explode or to set off, for example: a bomb?",Detonate,explosion},
101,What is the orbiting particle of an atom?,Electron,electron},
102,What was the last name of the female mouseketeer who later appeared in commercials for peanut butter?,Funicello,Marilyn},
103,What is the famous prehistoric structure situated on Salisbury Plain England?,Stonehenge,Stonehenge},
104,What seasonal South Asian wind is characterized by heavy rains?,Monsoon,monsoon},
105,What is the name of the legendary race of female warriors?,Amazons,The Valkyries},
106,What is the wand called which is held in the hand as a symbol of regal or imperial power?,Scepter,the wand},
107,What was the name of the medieval code of honor practiced by knights that among other things elevated the position of women?,Chivalry,chivalry},
108,"Who said the phrase, ""To be or not to be""?",Hamlet,Hamlet},
109,What is a group of lines in a poem called?,Stanza,Poem},
110,Over which river is the George Washington Bridge?,Hudson,New York},
111,"What is the last name of the actor who received the Best Actor award for the movie ""On The Waterfront""?",Brando,Marlon Brando},
112,What was the location of George Washington's encampment where his men suffered every conceivable hardship from 1777-1778?,Valley Forge,New York City},
113,What was the last name of the nearly blind impressionist artist who painted a series of mural-sized pictures of water lilies near the end of his life?,Monet,Monet},
114,What dwarf kills himself when a young bride guesses his highly unusual name?,Rumpelstiltskin,Dwarf},
115,What word means to bleed heavily or uncontrollably?,Hemorrhage,bleed},
116,What is the name of the strait between Alaska and Siberia?,Bering,Alaska},
117,What is the last name of the current mayor of New York City?,De Blasio,De Blasio},
118,What beetle was held sacred by ancient Egyptians?,Scarab,Scarab beetle},
119,What river in Hades does Charon ferry dead souls across?,Styx,the river Styx},
120,Who shot an apple off of his son's head in the 14th century?,William Tell,14th century},
121,What is the last name of the author of Little Women?,Alcott,Louisa May Alcott},
122,What is last name of the woman who wrote Gone With the Wind?,Mitchell,Scarlett O'Hara},
123,What is the last name of the author of 'The Hobbit'?,Tolkien,J.R.R. Tolkien},
124,What did the Wright Brothers do before inventing an aircraft?,Built bicycles,built a plane},
125,"What is the last name of the actress who played Gloria on TV's ""All in the Family""?",Struthers,Gloria Swanson},
126,"What is the last name of the actor who starred in both the Broadway production and the film, ""A Streetcar Named Desire""?",Brando,De Niro},
127,"What is the last name of the Romanian gymnast who scored 7 perfect ""10's"" and won 3 gold medals in the 1976 Olympics?",Comaneci,Mihai},
128,"What do you call a habitual spasmodic motion or twitching of particular muscles, especially in the face?",Tic,spasmodic},
129,What is the river that flows north from Switzerland to Holland and forms the border between Germany and France?,Rhine,Rhine},
130,What was the harp-like instrument used in ancient Greece to accompany singing and recitation?,Lyre,Greek lyre},
131,"What was the name of the zeppelin, blimp, that exploded in Lake Hurst, New Jersey in 1937?",Hindenburg,The Hindenburg},
132,What is a male witch called?,Warlock,Witch},
133,What is the first name of the school teacher who was chased by the headless horseman in 'The Legend of Sleepy Hollow'?,Ichabod,Washington Irving},
134,What is the last name of the author of 'Uncle Tom's Cabin'?,Stowe,Stowe},
135,What was the last name of Scrooge's dead partner in Dickens' 'A Christmas Carol?',Marley,Scrooge},
136,What is the term for when three musical notes are played together?,Chord,Chord},
137,What do you call the three periods(...) used to indicate an omission or a pause?,Ellipsis,...},
138,What word would means having a healthy reddish color?,Ruddy,red},
139,What is the last name of the author who wrote the Sherlock Holmes stories?,Doyle,Arthur Conan Doyle},
140,What game was Deep Blue skilled at?,Chess,chess},
141,"Who was Time Magazine's 1938 ""Man of the Year""?",Adolph Hitler,Franklin D. Roosevelt},
142,Who was the fictional character who married his mother and blinded himself?,Oedipus,The Phantom of the Opera},
143,What was the name of the German Secret State Police?,Gestapo,SS},
144,What peace treaty ended World War I?,Versailles,1919},
145,"Which bone does the colloquial term ""jawbone"" refer to?",Mandible,skull},
146,Which Aerosmith song was re-made by Run D.M.C.?,Walk this Way,Run D.M.C.},
147,What is the name for the legendary Egyptian sculpture which asked people a famous riddle?,Sphinx,The Sphinx},
148,What is the capital of Finland?,Helsinki,Helsinki},
149,What is the capital of Canada?,Ottawa,Ottawa},
150,What is the last name of the inventor of the wireless radio?,Marconi,Marconi},
151,What is the largest city and capital of Kenya?,Nairobi,Nairobi},
152,Who was the most famous Greek doctor?,Hippocrates,Aristotle},
153,What is the last name of the husband-wife spies who were electrocuted in 1951 for passing atomic secrets to Russia?,Rosenberg,KGB},
154,What is the gas that forms dry ice when frozen?,Carbon dioxide,CO2},
155,What was the last name of the explorer who tramped through what is now Florida looking for the fountain of youth?,Ponce De Leon,Columbus},
156,What is the last name of the author of 'Call of the Wild'?,London,Dane},
157,What kind of poison did Socrates take as his execution?,Hemlock,poison},
158,What is the last name of the woman who founded the American Red Cross?,Barton,Florence Nightingale},
159,Who was the person who visited the Lilliputians?,Gulliver,Gulliver},
160,Who was Robin Hood's greatest enemy?,Sheriff of Nottingham,The Sheriff of Nottingham},
161,What is the navigation instrument used at sea to plot positioning by the stars?,Sextant,compass},
162,"What do you call a word or sentence that reads the same backward or forward, such as ""Madam, I'm Adam""?",Palindrome,"Madam, I'm Adam}",
163,Which body of water separates Central and South America?,Panama Canal,Atlantic Ocean},
164,What word means to cut or chop (food) into very small pieces?,Mince,cut},
165,What was the capital of Czechoslovakia?,Prague,Prague},
166,What is the mixture of two or more metallic elements?,Alloy,Alloy},
167,What do you call the leather band formerly used for sharpening an old-fashioned razor?,Strop,leather band},
168,What is the colloquial term for patella?,Kneecap,patella},
169,What is the name of the hardwood of an (Asian) Indian timber tree often used for furniture?,Teak,Indian},
170,Who was Elton John's chief lyricist?,Bernie Taupin,John Elton},
171,"Which serial killer called himself ""Son of Sam""?",David Berkowitz,Son of Sam},
172,"Who is known as ""The Father of Geometry""?",Euclid,Euclid},
173,What was the name of the Union ironclad ship that fought the Confederate ironclad Merrimack?,Monitor,Merrimack},
174,In 'Romeo and Juliet' who were the Montagues feuding with?,Capulets,The Montagues},
175,"What is the last name of the actor who starred in ""Hart to Hart"" and ""Switch"" on TV and also in many movies?",Wagner,Hart},
176,What do you call a person who collects and studies stamps?,Philatelist,stamp collector},
177,What is the name of the river that runs through Rome?,Tiber,Tiber},
178,What is the name of the mountain range that separates Asia from Europe?,Ural,The Alps},
179,What was the 2001 event that led to the bankruptcy of a U.S. energy company and resulted in the dissolution of Arthur Anderson?,The Enron Scandal,2001},
180,"Whose autobiography is titled ""Lady Sings the Blues""?",Billie Holiday,Lady Sings the Blues},
181,What is the name of the Viking who discovered Greenland?,Erik the Red,Leif Erikson},
182,What was Bob Dylan's birth name?,Robert Zimmerman,Robert Allen Zimmerman},
183,Where was the 1939 World's Fair held?,New York City,New York City},
184,What did the irascible Ted Williams do in the final at bat of his 19-year major-league career?,Hit a home run,1950},
185,On top of which mountain was Moses given the Ten Commandments?,Sinai,Mount Sinai},
186,What is the last name of the Cuban leader that Castro overthrew?,Batista,Fidel},
187,What is the name of the fountain in Rome into which coins are thrown for good luck?,Trevi,The Trevi Fountain},
188,What was the English settlement that vanished in the late 1580s?,Roanoke,The English settlement that vanished in the late 1580s},
189,What do you call a moderately fast gait of a horse in which the legs move in diagonal pairs?,Trot,gallop},
190,What is the term given to pure spiritual love which is devoid of carnal desires between members of opposite sexes?,Platonic,Love},
191,What was the disease known as the 'Black Plague'?,Bubonic,Black Plague},
192,What was the last name of the person known as the 'desert fox',Rommel,Klaus},
193,What is the last name of the first person to climb Mount Everest?,Hillary,Sherpa},
194,What is the last name of the British admiral who won the Battle of Trafalgar?,Nelson,Admiral Nelson},
195,"What is the last name of the French author who wrote ""The Stranger""?",Camus,Alain-Fournier},
196,"What is the last name of the man who created the comic strip ""Li'l Abner""?",Capp,Hart},
197,To which continent is the yam native?,Africa,Africa},
198,What word means to raise into position by means of a pulley?,Hoist,to raise into position by means of a pulley},
199,What is the old name of Taiwan?,Formosa,Republic of China},
200,What was the creature killed by Theseus which had the body of a man and the head of a bull?,Minotaur,The Minotaur},
201,In which city is Michelangelo's statue of David located?,Florence,Rome},
202,What is the last name of the man who invented dynamite?,Nobel,G. C. L. Smith},
203,What is John Kenneth Galbraith's profession?,Economist,Economist},
204,Who was the bouncy and egotistical friend of Christopher Robin?,Tigger,Eeyore},
205,What is a network designed to allow communication within an organization?,An intranet,A network designed to allow communication within an organization},
206,What was invented by Wilhelm Rontgen in 1895?,X-ray machine,1895},
207,Who is the national poet of Scotland?,Robert Burns,Robert Burns},
208,What do you call a sharp and sudden pain in the side?,Stitch,stab},
209,What is the metric for gemstone quality?,Carat,1.0},
210,"What was the last name of the composer of the ""Maple Leaf Rag""?",Joplin,McGill},
211,What is the long process by which a dead organism turns to stone?,Petrification,the process of fossilization},
212,What was the first feature-length motion picture with sound?,The Jazz Singer,1915},
213,Which sport has the highest amount of doping?,Cycling,Horse racing},
214,What is the only nut tree native to North America?,Pecan,Pseudotsuga menziesii},
215,What do you call the purification or purgation of the emotions that is supposed to happen through art?,Catharsis,art},
216,What is the name of the island on which Napoleon was born?,Corsica,France},
217,"What is the last name of the man who said, ""I only regret that I have but one life to lose for my country""?",Hale,Macbeth},
218,What is Jane Goodall famous for studying?,Chimpanzees,chimpanzees},
219,What is the city in which the baseball hall of fame is located?,Cooperstown,New York City},
220,What is the last name of the movie actor who portrayed Spartacus?,Douglas,Tiberius},
221,Which famous explorer first introduced iced desserts into Europe?,Marco Polo,Frederick the Great},
222,What is the name of the Mediterranean island south of Turkey that is an independent republic and a member of the Commonwealth?,Cyprus,Cyprus},
223,In addition to the Kentucky Derby and the Belmont Stakes what horse race comprises the Triple Crown?,Preakness,Kentucky Derby},
224,What is the last name of the author who wrote the James Bond novels?,Fleming,Ian Fleming},
225,What open-air public theater was home to William Shakespeare's theatrical company?,Globe,The Globe},
226,What is a Japanese dance drama featuring stylized narrative choreographic movements?,Kabuki,Noh},
227,"Auguste Rodin's ""The Thinker"" is found in the garden of a museum in which city?",Paris,Paris},
228,What is Tiger Woods' real first name?,Eldrick,Tiger Woods},
229,"What is the last name of the playwright who wrote ""A Streetcar Named Desire""?",Williams,Williams},
230,"What is the last name of the judge who was known as ""The Law West of the Pecos?""",Bean,The Law West of the Pecos},
231,What is the word meaning the promises from God to humans?,Covenant,promises},
232,What is the last name of the cosmonaut who was the first person to orbit the earth?,Gagarin,Gagarin},
233,"What word denotes the series of units of weight used to measure gold, in which a pound equals twelve ounces?",Troy,12},
234,What do youcall a formal exercise by a team of marchers?,Drill,Marching},
235,"What do you call stage entertainment consisting of various unrelated acts, such as magicians, acrobats, etc?",Vaudeville,stage entertainment},
236,What was the last name of the man who asked you not to squeeze the Charmin in the toilet paper commercial?,Whipple,The Man Who Asked You Not To Squeeze The Charmin In The Toilet Paper Commercial},
237,What was built to confine the Minotaur and now refers to a maze?,Labyrinth,maze},
238,What was Bugsy Siegel's real first name?,Benjamin,Bugsy},
239,Which first lady was the first to live in the White House?,Abigail Adams,First Lady},
240,Who was the mythical Roman goddess of love?,Venus,Venus},
241,"What word means to voluntarily sacrifice (e.g., cargo) in order to lighten a ship or aircraft's load in time of distress?",Jettison,lighten the load},
242,"What is the last name of the actor who played the scarecrow in the movie, ""The Wizard of Oz""?",Bolger,Terry},
243,What do you call the position of the arms when the hands are on the hips and the elbows are out?,Akimbo,arms},
244,What is the name of the substance derived from a whale that is used to make perfume?,Ambergris,Cetacean},
245,What is the longest river In Asia?,Yangtze,The Yangtze River},
246,"What was the last name of the female star of the movie ""Casablanca""?",Bergman,Irene},
247,"What was the last name of the Captain of the British ship ""Bounty"" when the mutiny occurred?",Bligh,Bligh},
248,Halloween traces its origins to which pagan festival?,Samhain,Halloween},
249,"Who wrote ""The Rime of the Ancient Mariner""?",Samuel Taylor Coleridge,Samuel Taylor Coleridge},
250,What was Fonzie's first name in television's 'Happy Days'?,Arthur,Ron},
251,What do you call a chain of rocks or coral at or near the surface of the water in an ocean?,Reef,ocean floor},
252,What is the name of Germany's largest battleship that was sunk in World War II?,Bismarck,Bismarck},
253,What is the last name of the first man to run the mile in under four minutes?,Bannister,Lazarus},
254,What album holds the world record for copies sold?,Thriller,The Beatles},
255,What food is often used as a substitute for ice cream in advertising photo shoots?,Mashed Potato,Ice cream},
256,What was Sinatra's chart-topping duet with his daughter Nancy?,Somethin' Stupid,The Way You Look Tonight},
257,What philosopher was considered the ugliest man in Athens?,Socrates,Plato},
258,"What word means relating to or situated on the back, especially of an animal?",Dorsal,back},
259,"What is the last name of the author who wrote ""The Brothers Karamazov""?",Dostoyevsky,Dostoevsky},
260,What is the name of the obnoxious rooster in Warner Brothers cartoons?,Foghorn Leghorn,The Daffy Duck},
261,Who is the lead singer of Limp Bizkit?,Fred Durst,Fred Durst},
262,In 1984 Pres. Ronald Reagan won every state except one. Which one did he lose?,Minnesota,California},
263,What is the name of the man who removed the thorn from the lion's paw in the story from Aesop's fables?,Androcles,The Lion and the Mouse},
264,What is the last name of 1980 Olympic hopeful Randy Gardener's ice skating partner?,Babilonia,Gardner},
265,What is the name of the formerly independent country north of Lithuania and Latvia that was absorbed into USSR?,Estonia,Latvia},
266,Who is the messenger of the gods in Greek mythology?,Hermes,Hephaestus},
267,What is the name of the Chinese religion founded by Lao Tse?,Taoism,Taoism},
268,What was the name of Alexander Graham Bell's assistant?,Watson,Ellen},
269,What is a poem in which the first letters of each line spell a word?,An acrostic,A},
270,What story is the first to feature Edgar Allan Poe's amateur detective C. Auguste Dupin?,Murders in the Rue Morgue,The Murders in the Rue Morgue},
271,Niels Bohr used quantum mechanics to describe which element?,Hydrogen,"Niels Bohr used quantum mechanics to describe which element?}

What is the chemical symbol for gold?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for gold is {Au}",
272,What is the alternative name for the Sea of Cortez?,Gulf of California,The Sea of Cortez},
273,Ailurophobia is the fear of what?,Cats,cats},
274,"What is the last name of the composer who wrote the opera ""Don Giovanni?""",Mozart,Don Giovanni},
275,"What is the last name of the author of ""Our Town""?",Wilder,Hudson},
276,"What word means to observe and offer unwanted advice or comment, especially at a card game?",Kibitz,card game},
277,What is the last name of the author of Jonathan Livingston Seagull?,Bach,Seagull},
278,Who invented flexible photographic film?,George Eastman,George Eastman},
279,"Who said ""You'd be surprised how much it costs to look this cheap?""",Dolly Parton,You'd be surprised how much it costs to look this cheap!},
280,Which Egyptian god was often represented as a falcon?,Horus,Horus},
281,What is U2 singer Bono's real name?,Paul Hewson,Bono},
282,In which city does the Cotton Bowl take place?,Dallas,"Dallas, Texas}",
283,What is the capital of Australia?,Canberra,Canberra},
284,What do you call a secret agreement or pact (as between lovers)?,Tryst,secret agreement},
285,"What was the name of the capital of the Aztec empire, which was located where Mexico City is today?",Tenochtitlan,Tenochtitlan},
286,What do you call a law that gives exclusive right of inheritance to the eldest son?,Primogeniture,Inheritance law},
287,Which lawyer and presidential adviser in 1969 became the only Supreme Court justice to resign under threat of impeachment?,Abe Fortas,Thurgood Marshall},
288,Who was the first ruler of the Holy Roman Empire?,Charlemagne,Charlemagne},
289,"What is the national park in Utah, northeast of Zion, which is famous for the rock formations in its canyon?",Bryce,Zion National Park},
290,What is the last name of the criminal who was killed by FBI agents outside of a Chicago movie theater?,Dillinger,Hoffman},
291,What is the name of the instrument used to measure wind speed?,Anemometer,anemometer},
292,"What is the last name of the singer who made a hit recording of the song ""Who's Sorry Now?""",Francis,The Everly Brothers},
293,Who designed Central Park in New York City?,Frederick Law Olmstead,Frederick Law Olmsted},
294,The Mayan and Aztec peoples used cocoa beans not only to make a delicious beverage but also as...?,Currency,cacao},
295,Which Bronte sister died of tuberculosis in 1848 and was famously buried in a coffin that was a meager 16 inches (41 cm) wide?,Emily,Emily},
296,What breed of dog is known for making a yodeling noise instead of barking?,Basenji,German Shepherd},
297,What was author George Eliot's real name?,Mary Ann Evans,Mary Ann Evans},
298,In what geological period did birds evolve?,Jurassic,Cretaceous},
299,Polo consists of 8 periods called what?,Chukkers,8},
300,With which band was David Johansen the lead singer?,The New York Dolls,The Ramones},
301,What does a philomath have a love for?,Learning,philomath},
302,What was the title of Dr. Seuss' first book?,And to Think That I Saw It on Mulberry Street,The Cat in the Hat},
303,What was the name of George of the Jungle's pet elephant?,Shep,George of the Jungle's pet elephant},
304,What word means the form of something in the form of a spiral or coil?,Helix,spiral},
305,What do you call a verb that does not take a direct object?,Intransitive,verb},
306,What is the last name of the candidate who ran as an independent against Reagan and Carter in 1980?,Anderson,Reagan},
307,What is the name of the brightest star in the sky excluding the sun?,Sirius,Sirius},
308,What is the last name of the doctor who performed the first successful human heart transplant?,Barnard,Dr. Christiaan Barnard},
309,What mythical creature did Perseus kill?,Medusa,Medusa},
310,Who was the greatest poet of Russia's golden age?,Alexander Pushkin,Pushkin},
311,"Who wrote the ""Threepenny Opera""?",Bertolt Brecht,Bertolt Brecht},
312,What was the first product to have a barcode?,Wrigley gum,barcodes},
313,In which Cleveland suburb did actor Paul Newman grow up?,Shaker Heights,"Cleveland, Ohio}",
314,"The term ""op-ed"" is a shortened form of which phrase?",Opposite the editorial page,The opinion editorial},
315,What was the last name of Billy the Kid?,Bonney,Gonzales},
316,"From what musical is the song ""Baubles Bangles And Beads""?",Kismet,The Sound Of Music},
317,What word means lasting only a very brief time?,Ephemeral,brief},
318,"What is the name of Ulysses Everett McGill's hair pomade of choice in ""O Brother Where Art Thou""?",Dapper Dan,O Brother Where Art Thou},
319,What philosopher was imprisoned by the British government in 1918 for campaigning against war and conscription?,Bertrand Russell,Winston Churchill},
320,The theme tune for 'Monty Python's Flying Circus' was written by which composer?,John Philip Sousa,Eric Idle},
321,What is a chord consisting of three tones of a diatonic scale called?,Triad,major chord},
322,What was the name of the U.S. surveillance ship that was attacked by North Vietnam in the Gulf of Tonkin?,USS Maddox,USS Liberty},
323,What do A. E. Housman's initials stand for?,Alfred Edward,AEH},
324,"In which film did Doris Day sing the Oscar winning song ""Secret Love""?",Calamity Jane,1954},
325,Which first lady initiated the Easter egg roll on the White House lawn?,Lucy Hayes,Eleanor Roosevelt},
326,"Who is the author of ""Ozymandias""?",Percy Bysshe Shelley,Poe},
327,What is LL Cool J.'s real name?,James Todd Smith,James Todd Smith},
328,Aldebaran is the brightest star in which constellation?,Taurus,Taurus},
329,What do you call a solemn declaration made by a person who conscientiously declines taking an oath?,Affirmation,A solemn declaration made by a person who conscientiously declines taking an oath},
330,Who assassinated Mohandas Gandhi?,A Hindu nationalist,Mohandas Gandhi},
331,What were the first tennis racket strings made of?,Sheep gut,waxed linen},
332,Myosotis is the latin name for which type of flower?,Forget-Me-Not,Vinca},
333,What is the world governing body of tennis?,International Tennis Federation,Federation of International Tennis},
334,"Who was the lead vocalist for 'The Dakotas' during the 1960s?""",Billy J. Kramer,The Dakotas},
335,Where were the 1952 Olympics held?,Helsinki,London},
336,The 1912 Summer Olympics were held in what city?,Stockholm,London},
337,"W. Somerset Maugham's 1919 novel ""The Moon and Sixpence"" is based on the life of what artist?",Paul Gauguin,Frederic Remington},
338,In which city is the Encyclopedia Britannica published?,Chicago,London},
339,Who discovered the law of electrolysis?,Michael Faraday,Faraday},
340,"Which French author's novel ""Germinal"" depicts life in a mining community?",Emile Zola,Emile Zola},
341,What was the most played song on the radio in the United States during the 20th century?,You've Lost That Lovin' Feelin',The Beatles},
342,What is Australia's highest mountain?,Mount Kosciuszko,Mt. Kosciuszko},
343,Tony Drago is a snooker professional from which country?,Malta,England},
344,Who was the first person to admit to practicing witchcraft in Salem?,Tituba,Mary},
345,"What is the last name of the artist who painted ""The Persistence of Memory""?",Dali,Picasso},
346,"What is the last name of the author of ""The Agony and the Ecstasy""?",Stone,Rudolph},
347,What word means to deposit (something valuable) as a security for money borrowed?,Pawn,deposit},
348,Jockey Lester Piggott served 3 years in prison for what crime?,Tax evasion,murder},
349,What is the capital of Guinea-Bissau?,Bissau,Bissau},
350,"Who patented a burglar proof lock described as ""magic and infallible""?",Linus Yale,Edison},
351,What was the first graphical browser for the World Wide Web?,Mosaic,Mosaic},
352,What is Spike Milligan's real first name?,Terence,Spike},
353,"Who was the famous actor who played the Swedish Chef's uncle in an episode of ""The Muppet Show""?",Danny Kaye,Jim Henson},
