Set,CR Rank,MC rank,T. et al. rank,N & N rank,Question,CORRECT ANSWER,Correct,MC  (response times) – Errors,MC  (response times) – Correct,MC FOILS  (% of times selected as response) – Foil 1,MC FOILS  (% of times selected as response) – Foil 2,MC FOILS  (% of times selected as response) – Foil 3,MC FOILS  (% of times selected as response) – Difference (MC-CR)
B,11,110,NA,NA,"In what park is ""Old Faithful"" located?",Yellowstone,.84,9510,5935,Glacier (0.0%),Yosemite (14.3%),Zion (2.0%),-.02
B,14.5,19,NA,NA,What is the name of the art of Japanese paper folding?,Origami,.96,3098,4605,Amigurumi (0.0%),Bonsai (2.0%),Temari (2.0%),.13
B,14.5,74,NA,NA,Who was England's prime minister during World War II?,Churchill,.90,9592,6035,Chamberlain (4.1%),Roosevelt (4.1%),Thatcher (2.0%),.06
B,14.5,93,NA,NA,"What is the word ""memo"" short for?",Memorandum,.88,8958,4619,Memoir (0.0%),Memorable (0.0%),Short Note (12.2%),.04
B,14.5,212,NA,NA,What is the colored portion of the eye?,Iris,.61,8771,6965,Pupil (24.5%),Retina (14.3%),Sclera (0.0%),-.22
C,17,50,NA,NA,What is the name of the shell from which people hear the sea?,Conch,.92,17581,7569,Clam (2.0%),Jingle (0.0%),Oyster (6.1%),.10
B,18.5,2.5,NA,NA,"What do you call the vessel, usually an ornamental vase on a pedestal, which is used to preserve the ashes of the dead?",Urn,1.00,7917,,Coffin (0.0%),Shrine (0.0%),Ewer (0.0%),.19
B,18.5,19,NA,NA,What do you call an instrument for performing calculations by sliding beads along rods or grooves?,Abacus,.96,12104,6341,Caliper (2.0%),Nomogram (0.0%),Protractor (2.0%),.14
C,20,50,NA,NA,What device blows air on to a fire to make it hotter?,Bellows,.92,12967,6144,Chute (2.0%),Fan (4.1%),Oscillating fan (2.0%),.11
B,21,19,NA,NA,"What is the proper name for a ""tidal wave""?",Tsunami,.96,6063,6490,Hurricane (2.0%),Typhoon (0.0%),Whirlpool (2.0%),.16
C,22.5,33,NA,NA,What is a goat's offspring called?,Kid,.94,7179,4601,Colt (0.0%),Cub (0.0%),Doe (6.1%),.15
C,22.5,33,NA,NA,What optical instrument allows crews of submerged submarines to look at surface ships?,Periscope,.94,6138,8395,Macroscope (0.0%),Oscilloscope (2.0%),Telescope (4.1%),.15
B,25.5,6.5,NA,NA,What is the term for nautical mile per hour?,Knot,.98,22652,4516,Horsepower (0.0%),Rate (0.0%),Speed (2.0%),.20
B,25.5,33,NA,NA,What is the name of the loch (lake) in Scotland that is supposedly home of a legendary monster?,Ness,.94,7955,7740,Lochy (2.0%),Lomond (4.1%),Oich (0.0%),.16
B,25.5,50,NA,NA,What is the name of the Egyptian plant that is cut into strips and pressed into a material to write on?,Papyrus,.92,13027,8070,Birch (2.0%),Flax (2.0%),Hemp (4.1%),.14
B,25.5,293,NA,NA,Which video game character is a plumber?,Super Mario,.41,7941,6091,Luigi (46.9%),Pikachu (0.0%),Sponge Bob (12.2%),-.37
C,28,93,NA,NA,"What is the craft of tying knots to make belts, bags, and plant hangers?",Macrame,.88,18343,6887,Crochet (6.1%),Knotting (4.1%),Stitchery (2.0%),.12
D,29,165,189,157,What is the last name of the doctor who first developed a vaccine against polio?,Salk,.73,8038,5886,Fleming (12.2%),Pauling (6.1%),Sabin (8.2%),-.02
C,31,19,NA,NA,What is the name of the hillbilly family who had the famous feud with the McCoys?,Hatfield,.96,37352,6025,Ferguson (2.0%),Hickok (0.0%),McDaniel (2.0%),.21
C,31,33,NA,NA,What is the name of the man who created the comic strip 'Peanuts'?,Shultz,.94,9256,5462,Goodman (2.0%),Keene (4.1%),Rogers (0.0%),.19
C,31,74,NA,NA,In mammals the period of time between fertilization of the egg and the birth of the young is known by what scientific term?,Gestation,.90,13586,12733,Blastulation (2.0%),Conception (4.1%),Germination (4.1%),.15
B,33,235,NA,NA,Which was the 49th state to join the Union?,Alaska,.55,12739,8648,Arizona (2.0%),Hawaii (36.7%),New Mexico (6.1%),-.19
C,34.5,93,NA,NA,What is the term frequently applied to Christ's doctrine of doing to others as we would wish them to do unto us?,Golden Rule,.88,10797,9511,Apostle's Creed (10.2%),Beatitude (0.0%),Sermon on the Mount (2.0%),.15
C,34.5,93,NA,NA,What was the name given to the geographic line in the United States which was the separation of slavery and freedom?,Mason-Dixon Line,.88,11110,10175,Abolition Divide (2.0%),Freedom Void (2.0%),Great Divide (8.2%),.15
D,36,110,181,150,Of which country is Budapest the capital?,Hungary,.84,9104,6739,Austria (0.0%),Croatia (0.0%),Romania (16.3%),.11
B,38.5,19,NA,NA,What do you call a question that is asked for effect with no answer expected?,Rhetorical,.96,14244,6917,Euphemism (0.0%),Literal (2.0%),Metaphor (2.0%),.24
B,38.5,50,NA,NA,What word means to formally renounce a throne?,Abdicate,.92,5373,5616,Abjure (0.0%),Presides (0.0%),Recant (8.2%),.20
B,38.5,93,NA,NA,Which president suffered from polio?,Roosevelt,.88,12159,6298,Kennedy (0.0%),Truman (6.1%),Wilson (6.1%),.16
B,38.5,103,NA,NA,"What do you call a savory sauce in which meat, fish, or a vegetable is soaked before cooking to enhance the flavor?",Marinade,.86,14333,7573,Brine (12.2%),Gravy (0.0%),Stew (2.0%),.13
C,41.5,50,NA,NA,What is the term for someone who doubts but does not deny the existence of God?,Agnostic,.92,12228,9858,Apathetic (2.0%),Apostolic (0.0%),Atheist (6.1%),.20
C,41.5,140,NA,NA,What was the name of the body of water where Thoreau studied for two years?,Walden Pond,.78,9972,9595,Golden Pond (8.2%),Lake Champlain (4.1%),Lake Huron (10.2%),.06
B,44,74,NA,NA,Where was the Declaration of Independence signed?,Philadelphia,.90,8001,5392,Boston (2.0%),Charlottesville (0.0%),Washington (8.2%),.19
B,44,93,NA,NA,"What word means to shed hair, feathers, or an outer layer periodically, as with the changing seasons?",Molt,.88,10987,7331,Divest (2.0%),Flake (4.1%),Renew (6.1%),.17
B,44,123,NA,NA,"What is the musical term that means ""without instrumental accompaniment""?",A capella,.82,8294,5816,Acoustic (12.2%),Harmony (2.0%),Solo (4.1%),.11
C,47.5,33,NA,NA,What do we call the bone which composes the lower jaw?,Mandible,.94,10390,8052,Femur (0.0%),Goman Arch (2.0%),Maxilla (4.1%),.24
C,47.5,50,NA,NA,What is the last name of the first female pilot to cross the Atlantic?,Earhart,.92,6816,8548,Johnson (0.0%),Lindbergh (8.2%),Rickenbacker (0.0%),.22
C,47.5,151,NA,NA,What nickname was given to Northerners who went south after the Civil War and took advantage of Southern poverty?,Carpetbaggers,.76,16136,9464,Reconstructionists (8.2%),Scallywags (14.3%),Tories (2.0%),.05
C,47.5,151,NA,NA,What was the last name of the author who wrote the fable about the fox who assumed the grapes he couldn't reach were sour anyway?,Aesop,.76,12472,11147,Grimm (18.4%),James (4.1%),Rhein (2.0%),.05
C,50,50,NA,NA,What are the wooden clappers called that Spanish dancers hold in their hands?,Castanets,.92,9868,7328,Caracas (6.1%),Cymbals (0.0%),Glockenspiels (2.0%),.23
C,51,50,NA,NA,What was the name of the vehicle used to carry and cook food on cattle drives?,Chuckwagon,.92,11546,8876,Covered Wagon (2.0%),Foodwagon (4.1%),Grubwagon (2.0%),.25
B,53,19,NA,NA,What are people who make maps called?,Cartographers,.96,7007,5430,Drafters (0.0%),Geographers (4.1%),Mappers (0.0%),.29
B,53,74,NA,NA,What is the unit that marks sound intensity?,Decibel,.90,9195,7093,Hertz (4.1%),Volume (6.1%),Watt (0.0%),.23
B,53,186,NA,NA,What is the front section of a boat?,Bow,.67,7501,8830,Port (2.0%),Starboard (4.1%),Stern (26.5%),.01
C,55.5,19,NA,NA,Humans are classified as what species?,Sapiens,.96,4855,6232,Erectus (4.1%),Habilis (0.0%),Robustus (0.0%),.30
C,55.5,19,NA,NA,What is the name of the palace in London in which the Monarch of England resides?,Buckingham,.96,9922,8438,Balmoral (0.0%),Elsinore (0.0%),Kensington (4.1%),.30
B,61.5,19,NA,NA,What is the resort city on the French Riviera between Nice and St. Tropez where a famous film festival is held?,Cannes,.96,12719,7182,Antibes (0.0%),Paris (2.0%),Venice (2.0%),.31
B,61.5,50,NA,NA,"What do you call a feeling of resentment, often at some fancied slight or insult? (usually follows the verb ""take"")",Umbrage,.47,13952,9443,Indignation (12.2%),Offense (38.8%),Wrath (2.0%),.23
B,61.5,50,NA,NA,What is the name of a mixture of dried spices and flowers used for perfuming a room?,Potpourri,.92,9690,7809,Bouquet (0.0%),Incense (4.1%),Sachet (4.1%),.27
B,61.5,50,NA,NA,What is the order of lower mammals including kangaroos and opossums which carry their young in an abdominal pouch?,Marsupialia,.92,15734,7603,Carnivora (0.0%),Dermoptera (2.0%),Tubulidentata  (6.1%),.27
B,61.5,50,NA,NA,Who is the artist that painted everyday objects such as soup cans?,Warhol,.92,7946,5760,Dali (6.1%),Monet (0.0%),Picasso (2.0%),.27
B,61.5,74,NA,NA,What do you call a plant material such as straw used as a roofing material for a house?,Thatch,.90,15687,7090,Hatch (4.1%),Reed (4.1%),Weave (2.0%),.25
B,61.5,74,NA,NA,"What is the name of the unrhymed verse form of Japanese origin having three lines containing usually 5, 7, and 5 syllables?",Haiku,.90,14914,6774,Kabuki (10.2%),Senryu (0.0%),Tanka (0.0%),.25
B,61.5,151,NA,NA,What is the capital of Thailand?,Bangkok,.76,10059,6891,Beijing (0.0%),Hanoi (10.2%),Phnom Penh (14.3%),.11
B,61.5,175,NA,NA,"Who is the oldest sister in ""The Brady Bunch""?",Marcia,.71,6724,6058,Cindy (6.1%),Jan (18.4%),Martha (4.1%),.07
B,61.5,181,NA,NA,What word means to divide an area into electoral district in order to give special advantage to one political party?,Gerrymander,.69,12869,9094,Disenfranchise (2.0%),Logrolling (4.1%),Redistricting (24.5%),.05
C,68.5,19,NA,NA,What is the fin on the back of a fish called?,Dorsal,.96,6471,6161,Back (0.0%),Front (0.0%),Temporal (4.1%),.32
C,68.5,19,NA,NA,What mammal has armor-like bony plates as its most distinguishing feature?,Armadillo,.96,8966,8400,Aardvark (0.0%),Anteater (2.0%),Platypus (2.0%),.32
C,68.5,151,NA,NA,What did the Seven Dwarves do for a living?,Mining,.76,10484,5929,Carpentry (16.3%),Farming (2.0%),Hunting (6.1%),.11
C,68.5,186,NA,NA,What river separates Washington D.C. from Virginia?,Potomac,.67,10098,8958,Delaware (18.4%),Hudson (10.2%),Missouri (4.1%),.03
B,71,50,NA,NA,What do you call a member of a volunteer group organized to suppress and punish crime (as when legal processes seem inadequate)?,Vigilante,.92,17493,12511,Defender (2.0%),Gang (4.1%),Patrol (2.0%),.29
C,74,19,NA,NA,What instrument is used to measure earthquakes?,Seismograph,.96,8941,5496,Altimeter (0.0%),Oscilloscope (0.0%),Richtograph (4.1%),.33
C,74,74,NA,NA,What was the land where Puff the Magic Dragon lives?,Honalee,.90,8535,6482,Amber (2.0%),Middle Earth (0.0%),Never-Never Land (8.2%),.27
C,74,110,NA,NA,What sailor's disease resulted from a deficiency in vitamin C?,Scurvy,.84,12199,7433,Polio (0.0%),Rickets (12.2%),Scarlet Fever (4.1%),.21
C,74,123,NA,NA,What is the technical term for the phenomenon commonly known as the Northern Lights?,Aurora Borealis,.82,7423,7279,Aurora Australis (12.2%),Polar Halo (2.0%),Polar Lights (4.1%),.19
C,74,123,NA,NA,What type of paper is commonly used as an acid-base indicator in chemistry classes?,Litmus,.82,12067,6824,Barium (12.2%),Chromatin Red (0.0%),Chromium (6.1%),.19
C,77,93,NA,NA,What is the name of the short sword fastened to the end of a musket or rifle?,Bayonet,.88,10067,6921,Cutlass (0.0%),Dagger (8.2%),Dirk (4.1%),.27
B,78,50,NA,NA,Where is the Amazon rainforest located?,Brazil,.92,5178,5399,Columbia (4.1%),Seattle (0.0%),Venezuela (4.1%),.31
C,80,19,NA,NA,What device is used to measure levels of radioactivity?,Geiger Counter,.96,6739,6724,Hertz Counter (0.0%),Ohm Receiver (2.0%),Radiometer (2.0%),.36
C,80,33,NA,NA,Who was the magician and prophet from King Arthur's era?,Merlin,.94,6610,7312,Loki (0.0%),Mephistopheles (6.1%),Mordred (0.0%),.34
C,80,93,NA,NA,What was the name of the disorder depicted by Dustin Hoffman's character in the movie 'Rainman' otherwise known as Idiot Savantism?,Autism,.88,20036,9899,Down Syndrome (6.1%),Dyslexia (4.1%),Paranoia (2.0%),.28
A,82.5,74,NA,NA,What does VoIP stand for?,Voice over Internet Protocol,.90,24570,8633,Vision of Interest Piece (0.0%),Vivendi operation Internet Protocol (4.1%),Vocal or Internet Program (6.1%),.30
A,82.5,165,NA,NA,Who defeated Pres. Harry Truman in the 1948 election according to an infamous Chicago Tribune headline?,Thomas Dewey,.73,19665,7604,Alben W. Barkley (4.1%),Dwight D. Eisenhower (20.4%),Earl Warren (2.0%),.14
B,86,74,NA,NA,What is the name of the migratory grasshopper that travels in vast swarms and strips areas passed of all vegetation?,Locust,.90,14857,8730,Cicada (10.2%),Katydid (0.0%),Weevil (0.0%),.31
B,86,123,NA,NA,What city is the capital of Iceland?,Reykjavik,.82,5944,5262,Arborg (12.2%),Kopavogur (4.1%),Reykjanesbaer (2.0%),.22
B,86,165,NA,NA,Who was the first female Supreme Court justice?,O'Connor,.73,6489,7370,Ginsburg (20.4%),Kagan (0.0%),Sotomayor (6.1%),.14
B,86,172,NA,NA,Who was the composer who worked with deafness?,Beethoven,.71,7512,7783,Bach (4.1%),Chopin (4.1%),Mozart (20.4%),.12
B,86,254,NA,NA,What is the last name of the man who assassinated Robert Kennedy?,Sirhan,.51,5856,9892,Oswald (42.9%),Ray (2.0%),Ruby (4.1%),-.08
C,89,151,NA,NA,What is a community of ants called?,Colony,.76,7431,7512,Farm (12.2%),Hill (12.2%),Hive (0.0%),.17
B,91.5,19,NA,NA,What is the last name of the actor who played Perry Mason on TV?,Burr,.96,5686,5020,Arness (2.0%),Connors (2.0%),Stevens (0.0%),.39
B,91.5,74,NA,NA,What do you call a stone building (often found in cemetery) with places for entombment of the dead above ground?,Mausoleum,.90,10666,9197,Catacomb (0.0%),Crematorium (0.0%),Crypt (10.2%),.32
B,91.5,74,NA,NA,"What is the former name of Istanbul, which was used when the city was occupied by Christians?",Constantinople,.90,12450,9327,Ankara (6.1%),Prussia (2.0%),Stalinabad (2.0%),.32
B,91.5,262,NA,NA,"What was the last name of Lucille Ball's first husband, who starred with her on ""I Love Lucy""?",Arnaz,.49,6778,8099,Mertz (0.0%),Ricardo (51.0%),Santiago (0.0%),-.08
C,96,2.5,NA,NA,What is the name of the three leaf clover which is the emblem of Ireland?,Shamrock,1.00,,7451,Blarney (0.0%),Heather (0.0%),Lavender (0.0%),.43
C,96,93,NA,NA,What was the name of the infamous American traitor in the Revolutionary War?,Arnold,.88,7611,7457,Brown (0.0%),Jackson (10.2%),Johnson (2.0%),.31
C,96,110,NA,NA,What is a group of geese called?,Gaggle,.84,7645,6459,Flock (12.2%),Gathering (2.0%),Herd (2.0%),.27
C,96,134,NA,NA,What is a young female horse called?,Filly,.80,10229,6690,Colt (6.1%),Foal (14.3%),Gelding (0.0%),.23
C,96,151,NA,NA,What is the name of the disease of the liver caused by abnormally high levels of bile in the blood that gives the skin a yellow color?,Jaundice,.76,11352,8778,Diabetes (0.0%),Hepatitis (24.5%),Korsakoff (0.0%),.19
D,99,165,190,181,What is the last name of the man who began the Reformation in Germany?,Luther,.73,13529,6590,Calvin (8.2%),Hus (12.2%),Zwingli (6.1%),.17
B,101,50,NA,NA,What is the name of the islands off the coast of Ecuador that Darwin visited to study unique species of birds and animals?,Galapagos,.92,12333,6770,Easter (4.1%),Isla De San Carlos (4.1%),Malpelo (0.0%),.36
B,101,50,NA,NA,"What is the word that means to cause to explode or to set off, for example: a bomb?",Detonate,.92,8338,8213,Diffuse (0.0%),Implode (0.0%),Trigger (8.2%),.36
B,101,254,NA,NA,What is the orbiting particle of an atom?,Electron,.51,9099,8669,Neutron (26.5%),Nucleus (6.1%),Proton (16.3%),-.05
C,104,33,NA,NA,What was the last name of the female mouseketeer who later appeared in commercials for peanut butter?,Funicello,.94,11490,9613,Duke (2.0%),Lopez (2.0%),McCormick (2.0%),.39
C,104,74,NA,NA,What is the famous prehistoric structure situated on Salisbury Plain England?,Stonehenge,.90,8031,12008,Blarney Stone (6.1%),Druid Ruins (0.0%),Easter Statues (4.1%),.35
C,104,123,NA,NA,What seasonal South Asian wind is characterized by heavy rains?,Monsoon,.82,11762,9503,Hurricane (4.1%),Trade Wind (8.2%),Tsunami (6.1%),.26
C,107,50,NA,NA,What is the name of the legendary race of female warriors?,Amazons,.92,10899,5463,Dryads (0.0%),Nillians (4.1%),Titans (4.1%),.38
C,107,50,NA,NA,What is the wand called which is held in the hand as a symbol of regal or imperial power?,Scepter,.92,15944,11860,Baton (2.0%),Javelin (2.0%),Staff (4.1%),.38
C,107,74,NA,NA,What was the name of the medieval code of honor practiced by knights that among other things elevated the position of women?,Chivalry,.90,19838,9189,Feudalism (2.0%),Gentility (8.2%),Grade (0.0%),.36
B,110,175,NA,NA,"Who said the phrase, ""To be or not to be""?",Hamlet,.71,9565,7962,Caesar (8.2%),Macbeth (16.3%),Romeo (4.1%),.18
B,110,235,NA,NA,What is a group of lines in a poem called?,Stanza,.55,8123,6231,Paragraph (0.0%),Prose (6.1%),Verse (38.8%),.01
D,112,123,168,221,Over which river is the George Washington Bridge?,Hudson,.82,8310,9203,East (14.3%),Hackensack (2.0%),Harlem (2.0%),.29
D,112,134,179,183,"What is the last name of the actor who received the Best Actor award for the movie ""On The Waterfront""?",Brando,.80,8671,6131,Holden (12.2%),Newman (8.2%),Niven (0.0%),.27
C,114,93,NA,NA,What was the location of George Washington's encampment where his men suffered every conceivable hardship from 1777-1778?,Valley Forge,.88,13607,9782,Antietam (2.0%),Bull Run (0.0%),Gettysburg (10.2%),.36
C,114,140,NA,NA,What was the last name of the nearly blind impressionist artist who painted a series of mural-sized pictures of water lilies near the end of his life?,Monet,.78,16918,14507,Cezanne (8.2%),Manet (4.1%),Renoir (10.2%),.25
C,114,151,NA,NA,What dwarf kills himself when a young bride guesses his highly unusual name?,Rumpelstiltskin,.76,17771,8979,Galnon (6.1%),Quasimodo (18.4%),Rip Van Winkle (0.0%),.23
B,117,6.5,NA,NA,What word means to bleed heavily or uncontrollably?,Hemorrhage,.98,24852,5888,Coagulation (2.0%),Hematemesis (0.0%),Imbrue (0.0%),.46
B,117,134,NA,NA,What is the name of the strait between Alaska and Siberia?,Bering,.80,6640,6419,Dover (0.0%),Gibraltar (20.4%),Malacca (0.0%),.28
B,117,225,NA,NA,What is the last name of the current mayor of New York City?,De Blasio,.57,8316,6245,Bloomberg (18.4%),Cuomo (14.3%),Giuliani (10.2%),.05
C,120,123,NA,NA,What beetle was held sacred by ancient Egyptians?,Scarab,.82,12822,5823,Black (2.0%),Emerald (8.2%),Japanese (8.2%),.31
C,120,186,NA,NA,What river in Hades does Charon ferry dead souls across?,Styx,.67,11225,10502,Black (10.2%),Death (10.2%),Hades (12.2%),.17
C,121,19,NA,NA,Who shot an apple off of his son's head in the 14th century?,William Tell,.96,12187,5999,King Arthur (2.0%),St. Augustine (0.0%),Sir Lancelot (2.0%),.47
B,123,110,NA,NA,What is the last name of the author of Little Women?,Alcott,.84,6086,6006,Austen (10.2%),Montgomery (2.0%),Wharton (4.1%),.36
B,123,181,NA,NA,What is last name of the woman who wrote Gone With the Wind?,Mitchell,.69,7828,5939,Atwood (4.1%),Lee (8.2%),O'Hara (18.4%),.21
C,124,74,NA,NA,What is the last name of the author of 'The Hobbit'?,Tolkien,.90,8955,5033,Asimov (2.0%),Castaneda (2.0%),Lewis (6.1%),.42
A,125,123,NA,NA,What did the Wright Brothers do before inventing an aircraft?,Built bicycles,.82,15885,8616,Designed buildings (6.1%),Taught school (2.0%),Wrote for a newspaper (10.2%),.34
B,128,103,NA,NA,"What is the last name of the actress who played Gloria on TV's ""All in the Family""?",Struthers,.86,9236,5778,Anderson (4.1%),Dickinson (0.0%),Stapleton (10.2%),.39
B,128,123,NA,NA,"What is the last name of the actor who starred in both the Broadway production and the film, ""A Streetcar Named Desire""?",Brando,.82,11825,8343,Dean (4.1%),McQueen (8.2%),Newman (6.1%),.35
B,128,134,NA,NA,"What is the last name of the Romanian gymnast who scored 7 perfect ""10's"" and won 3 gold medals in the 1976 Olympics?",Comaneci,.80,21237,10355,Amanar (0.0%),Korbut (16.3%),Latynina (4.1%),.33
B,128,140,NA,NA,"What do you call a habitual spasmodic motion or twitching of particular muscles, especially in the face?",Tic,.78,8495,8367,Contraction (2.0%),Jerk (2.0%),Twitch (18.4%),.31
B,128,151,NA,NA,What is the river that flows north from Switzerland to Holland and forms the border between Germany and France?,Rhine,.76,13557,10218,Elbe (4.1%),Loire (6.1%),Seine (14.3%),.29
C,131,186,NA,NA,What was the harp-like instrument used in ancient Greece to accompany singing and recitation?,Lyre,.67,14898,11422,Dulcimer (6.1%),Lute (16.3%),Mandolin (10.2%),.21
C,134,19,NA,NA,"What was the name of the zeppelin, blimp, that exploded in Lake Hurst, New Jersey in 1937?",Hindenburg,.96,17616,7367,Graph (2.0%),Ludendorf (0.0%),Mannheim (2.0%),.51
C,134,74,NA,NA,What is a male witch called?,Warlock,.90,14146,6384,Magician (2.0%),Sorcerer (8.2%),Witch (0.0%),.45
C,134,93,NA,NA,What is the first name of the school teacher who was chased by the headless horseman in 'The Legend of Sleepy Hollow'?,Ichabod,.88,17775,8573,Ethan (2.0%),Oliver (6.1%),Pip (4.1%),.43
C,134,181,NA,NA,What is the last name of the author of 'Uncle Tom's Cabin'?,Stowe,.69,8749,7604,Christie (2.0%),Keyes (8.2%),Mitchell (20.4%),.25
C,134,212,NA,NA,What was the last name of Scrooge's dead partner in Dickens' 'A Christmas Carol?',Marley,.61,11086,11499,Copperfield (6.1%),Cratchit (32.7%),Nickleby (0.0%),.16
B,138,123,NA,NA,What is the term for when three musical notes are played together?,Chord,.82,6590,6585,Melody (12.2%),Octave (0.0%),Scale (6.1%),.37
B,138,140,NA,NA,What do you call the three periods(…) used to indicate an omission or a pause?,Ellipsis,.78,9325,7517,Allusion (0.0%),Elliptical (4.1%),Et Cetera (18.4%),.33
B,138,316,NA,NA,What word would means having a healthy reddish color?,Ruddy,.35,9822,10877,Blush (12.2%),Rosy (53.1%),Sallow (0.0%),-.10
D,140,123,175,192,What is the last name of the author who wrote the Sherlock Holmes stories?,Doyle,.82,9589,5769,Brett (6.1%),Stevenson (8.2%),Stoker (4.1%),.38
A,142,245,NA,NA,What game was Deep Blue skilled at?,Chess,.53,10263,7459,Backgammon (26.5%),Checkers (8.2%),Dominoes (12.2%),.09
A,142,282,NA,NA,"Who was Time Magazine's 1938 ""Man of the Year""?",Adolph Hitler,.43,15920,9000,Chiang Kai-shek (12.2%),Franklin D. Roosevelt (26.5%),Winston Churchill (18.4%),-.01
C,144,93,NA,NA,Who was the fictional character who married his mother and blinded himself?,Oedipus,.88,14465,9838,Jason (2.0%),Medea (4.1%),Sophocles (6.1%),.44
C,144,110,NA,NA,What was the name of the German Secret State Police?,Gestapo,.84,14265,7871,KGB (8.2%),Nazis (8.2%),Schutz (0.0%),.40
C,144,134,NA,NA,What peace treaty ended World War I?,Versailles,.80,9158,9785,Berlin (6.1%),Hague (6.1%),Paris (8.2%),.36
B,146,33,NA,NA,"Which bone does the colloquial term ""jawbone"" refer to?",Mandible,.94,9664,6869,Femur (0.0%),Humerus (4.1%),Tibia (2.0%),.51
A,147,140,NA,NA,Which Aerosmith song was re-made by Run D.M.C.?,Walk this Way,.78,8027,7003,Dream On (16.3%),Dude (2.0%),Mama Kin (4.1%),.35
C,148,202,NA,NA,What is the name for the legendary Egyptian sculpture which asked people a famous riddle?,Sphinx,.63,19550,11776,Gate Of The Nile (18.4%),Mantacor (10.2%),Ra (8.2%),.21
D,150,151,191,211,What is the capital of Finland?,Helsinki,.76,7180,6744,Oslo (10.2%),Stockholm (6.1%),Tampere (8.2%),.35
D,150,254,202,218,What is the capital of Canada?,Ottawa,.51,6044,6713,Calgary (6.1%),Toronto (40.8%),Winnipeg (2.0%),.10
D,150,193,230,219,What is the last name of the inventor of the wireless radio?,Marconi,.65,8877,6002,Hertz (20.4%),Morse (12.2%),Volta (2.0%),.24
B,152,50,NA,NA,What is the largest city and capital of Kenya?,Nairobi,.92,7198,7649,Malindi (0.0%),Mombasa (6.1%),Nakuru (2.0%),.51
D,154,19,173,161,Who was the most famous Greek doctor?,Hippocrates,.96,11936,5395,Democritus (2.0%),Galen (0.0%),Parmenides (2.0%),.57
D,154,50,183,193,What is the last name of the husband-wife spies who were electrocuted in 1951 for passing atomic secrets to Russia?,Rosenberg,.92,34325,6569,Hiss (6.1%),Kramer (2.0%),Lafayette (0.0%),.52
B,155,334,NA,NA,What is the gas that forms dry ice when frozen?,Carbon dioxide,.31,8777,13646,Carbon monoxide (2.0%),Nitrogen (65.3%),Oxygen (2.0%),-.08
C,157,93,NA,NA,What was the last name of the explorer who tramped through what is now Florida looking for the fountain of youth?,Ponce De Leon,.88,11952,9954,De La Vega (2.0%),De Soto (6.1%),Diego (4.1%),.49
C,157,165,NA,NA,What is the last name of the author of 'Call of the Wild'?,London,.73,9753,6880,Blake (2.0%),Bradbury (20.4%),Heller (4.1%),.35
D,159,181,157,156,What kind of poison did Socrates take as his execution?,Hemlock,.69,6445,6928,Arsenic (14.3%),Belladonna (4.1%),Nightshade (12.2%),.32
D,159,235,216,230,What is the last name of the woman who founded the American Red Cross?,Barton,.55,6759,5646,Dix (2.0%),Nightingale (38.8%),Tompkins (4.1%),.17
