Set,CR Rank,T. et al. rank,N & N rank,General Knowledge Question,Correct Answer,CR (proportion of responses) – Correct,CR (proportion of responses) – DR,CR (proportion of responses) – DK,CR (proportion of responses) – CE,CR (proportion of responses) – OE,CR (response times) – Correct,CR (response times) – DR,CR (response times) – DK,CR (response times) – CE,CR (response times) – OE
C,107,NA,NA,What was the name of the medieval code of honor practiced by knights that among other things elevated the position of women?,Chivalry,.54,.07,.30,.07,.01,18371,17359,15311,28334,17338
B,109.5,NA,NA,"Who said the phrase, ""To be or not to be""?",Hamlet,.54,.00,.04,.43,.00,17050,,23751,13586,
B,109.5,NA,NA,What is a group of lines in a poem called?,Stanza,.54,.06,.11,.30,.00,8950,27119,6864,12630,
D,111.5,168,221,Over which river is the George Washington Bridge?,Hudson,.53,.11,.09,.27,.00,12472,18206,16185,20233,
D,111.5,179,183,"What is the last name of the actor who received the Best Actor award for the movie ""On The Waterfront""?",Brando,.53,.18,.24,.05,.00,15552,34635,9566,27133,
C,114,NA,NA,What was the location of George Washington's encampment where his men suffered every conceivable hardship from 1777-1778?,Valley Forge,.52,.21,.06,.21,.00,16050,23017,13499,35336,
C,114,NA,NA,What was the last name of the nearly blind impressionist artist who painted a series of mural-sized pictures of water lilies near the end of his life?,Monet,.52,.06,.25,.16,.00,18685,38750,14012,22168,
C,114,NA,NA,What dwarf kills himself when a young bride guesses his highly unusual name?,Rumpelstiltskin,.52,.04,.36,.04,.03,23723,26134,12035,17087,15174
B,117,NA,NA,What word means to bleed heavily or uncontrollably?,Hemorrhage,.52,.15,.19,.15,.00,15296,36515,13950,18404,
B,117,NA,NA,What is the name of the strait between Alaska and Siberia?,Bering,.52,.15,.22,.11,.00,10217,19904,7177,10296,
B,117,NA,NA,What is the last name of the current mayor of New York City?,De Blasio,.52,.13,.19,.17,.00,19371,6967,14276,12934,
C,119.5,NA,NA,What beetle was held sacred by ancient Egyptians?,Scarab,.51,.07,.27,.15,.00,10050,15124,10559,15569,
C,119.5,NA,NA,What river in Hades does Charon ferry dead souls across?,Styx,.51,.15,.21,.13,.00,9193,15805,10766,23811,
C,121,NA,NA,Who shot an apple off of his son's head in the 14th century?,William Tell,.49,.25,.03,.21,.01,12220,26229,15688,14664,51468
B,122.5,NA,NA,What is the last name of the author of Little Women?,Alcott,.48,.20,.17,.15,.00,37061,8259,5191,8383,
B,122.5,NA,NA,What is last name of the woman who wrote Gone With the Wind?,Mitchell,.48,.19,.26,.07,.00,16023,16498,7662,13867,
C,124,NA,NA,What is the last name of the author of 'The Hobbit'?,Tolkien,.48,.25,.22,.03,.01,13096,17086,8675,9164,6040
A,125,NA,NA,What did the Wright Brothers do before inventing an aircraft?,Built bicycles,.47,.16,.25,.12,.00,14550,11813,8266,19067,
B,128,NA,NA,"What is the last name of the actress who played Gloria on TV's ""All in the Family""?",Struthers,.46,.26,.19,.09,.00,18179,15717,9929,14871,
B,128,NA,NA,"What is the last name of the actor who starred in both the Broadway production and the film, ""A Streetcar Named Desire""?",Brando,.46,.11,.35,.07,.00,15059,14938,12973,31913,
B,128,NA,NA,"What is the last name of the Romanian gymnast who scored 7 perfect ""10's"" and won 3 gold medals in the 1976 Olympics?",Comaneci,.46,.17,.19,.17,.02,20441,21253,6408,48542,1337
B,128,NA,NA,"What do you call a habitual spasmodic motion or twitching of particular muscles, especially in the face?",Tic,.46,.06,.19,.30,.00,11627,13298,7301,18202,
B,128,NA,NA,What is the river that flows north from Switzerland to Holland and forms the border between Germany and France?,Rhine,.46,.06,.33,.13,.02,16345,13932,10680,29014,1451
C,131,NA,NA,What was the harp-like instrument used in ancient Greece to accompany singing and recitation?,Lyre,.46,.12,.12,.30,.00,8399,26891,13863,14945,
C,134,NA,NA,"What was the name of the zeppelin, blimp, that exploded in Lake Hurst, New Jersey in 1937?",Hindenburg,.45,.24,.18,.12,.01,19734,25608,9646,30901,8585
C,134,NA,NA,What is a male witch called?,Warlock,.45,.13,.22,.18,.01,7696,20333,15558,14827,6692
C,134,NA,NA,What is the first name of the school teacher who was chased by the headless horseman in 'The Legend of Sleepy Hollow'?,Ichabod,.45,.31,.13,.09,.01,14820,20651,16466,19242,26015
C,134,NA,NA,What is the last name of the author of 'Uncle Tom's Cabin'?,Stowe,.45,.25,.07,.21,.01,10921,19733,15840,15033,9981
C,134,NA,NA,What was the last name of Scrooge's dead partner in Dickens' 'A Christmas Carol?',Marley,.45,.33,.07,.12,.03,10754,18808,9492,38353,19456
B,138,NA,NA,What is the term for when three musical notes are played together?,Chord,.44,.06,.37,.13,.00,10404,10520,11631,14153,
B,138,NA,NA,What do you call the three periods(…) used to indicate an omission or a pause?,Ellipsis,.44,.17,.31,.06,.02,16454,15037,18928,31341,3045
B,138,NA,NA,What word would means having a healthy reddish color?,Ruddy,.44,.06,.17,.33,.00,9958,18168,10961,13975,
D,140,175,192,What is the last name of the author who wrote the Sherlock Holmes stories?,Doyle,.44,.27,.23,.06,.00,13247,16687,10180,18556,
A,141.5,NA,NA,What game was Deep Blue skilled at?,Chess,.44,.02,.49,.05,.00,11453,6328,10317,9464,
A,141.5,NA,NA,"Who was Time Magazine's 1938 ""Man of the Year""?",Adolph Hitler,.44,.02,.44,.09,.02,12692,7598,6612,11766,4510
C,144,NA,NA,Who was the fictional character who married his mother and blinded himself?,Oedipus,.43,.10,.30,.13,.03,15334,27306,10883,19234,16339
C,144,NA,NA,What was the name of the German Secret State Police?,Gestapo,.43,.16,.09,.31,.00,14481,18990,12145,18042,
C,144,NA,NA,What peace treaty ended World War I?,Versailles,.43,.24,.10,.21,.01,21092,11662,8258,13381,18428
B,146,NA,NA,"Which bone does the colloquial term ""jawbone"" refer to?",Mandible,.43,.04,.35,.19,.00,15843,5788,22563,16024,
A,147,NA,NA,Which Aerosmith song was re-made by Run D.M.C.?,Walk this Way,.42,.05,.44,.09,.00,15422,17090,8209,23847,
C,148,NA,NA,What is the name for the legendary Egyptian sculpture which asked people a famous riddle?,Sphinx,.42,.15,.33,.09,.01,13569,13821,13950,16995,28409
D,150,191,211,What is the capital of Finland?,Helsinki,.41,.20,.30,.09,.00,8028,20694,11643,14970,
D,150,202,218,What is the capital of Canada?,Ottawa,.41,.09,.08,.42,.00,10504,15453,13054,21362,
D,150,230,219,What is the last name of the inventor of the wireless radio?,Marconi,.41,.21,.18,.20,.00,13999,25400,11541,14638,
B,152,NA,NA,What is the largest city and capital of Kenya?,Nairobi,.41,.06,.46,.06,.02,18053,16362,6323,12371,1114
D,153.5,173,161,Who was the most famous Greek doctor?,Hippocrates,.39,.12,.21,.27,.00,19515,20391,9241,18776,
D,153.5,183,193,What is the last name of the husband-wife spies who were electrocuted in 1951 for passing atomic secrets to Russia?,Rosenberg,.39,.27,.15,.18,.00,17697,23073,12346,34039,
B,155,NA,NA,What is the gas that forms dry ice when frozen?,Carbon dioxide,.39,.13,.26,.22,.00,17463,15328,14612,12558,
C,156.5,NA,NA,What was the last name of the explorer who tramped through what is now Florida looking for the fountain of youth?,Ponce De Leon,.39,.36,.04,.19,.01,17279,26548,22413,23120,83110
C,156.5,NA,NA,What is the last name of the author of 'Call of the Wild'?,London,.39,.27,.13,.21,.00,7466,20181,8631,16361,
D,158.5,157,156,What kind of poison did Socrates take as his execution?,Hemlock,.38,.18,.18,.26,.00,9557,23021,11658,21520,
D,158.5,216,230,What is the last name of the woman who founded the American Red Cross?,Barton,.38,.24,.17,.21,.00,13056,29249,14914,25207,
C,160.5,NA,NA,Who was the person who visited the Lilliputians?,Gulliver,.37,.22,.16,.21,.03,13245,17662,7730,22453,11182
C,160.5,NA,NA,Who was Robin Hood's greatest enemy?,Sheriff of Nottingham,.37,.27,.09,.27,.00,16435,12692,8626,19842,
B,166,NA,NA,What is the navigation instrument used at sea to plot positioning by the stars?,Sextant,.37,.20,.17,.24,.02,7849,31003,9990,10885,2965
B,166,NA,NA,"What do you call a word or sentence that reads the same backward or forward, such as ""Madam, I'm Adam""?",Palindrome,.37,.28,.24,.09,.02,23654,14017,9705,40702,2251
B,166,NA,NA,Which body of water separates Central and South America?,Panama Canal,.37,.09,.33,.19,.02,20127,7904,20838,19086,1480
B,166,NA,NA,What word means to cut or chop (food) into very small pieces?,Mince,.37,.00,.13,.50,.00,9414,,17944,8958,
B,166,NA,NA,What was the capital of Czechoslovakia?,Prague,.37,.17,.43,.04,.00,13652,12626,7099,24787,
B,166,NA,NA,What is the mixture of two or more metallic elements?,Alloy,.37,.07,.33,.22,.00,13970,21799,11463,12449,
B,166,NA,NA,What do you call the leather band formerly used for sharpening an old-fashioned razor?,Strop,.37,.04,.17,.43,.00,12720,16622,8616,12371,
B,166,NA,NA,What is the colloquial term for patella?,Kneecap,.37,.04,.44,.15,.00,12896,22050,9169,10984,
B,166,NA,NA,What is the name of the hardwood of an (Asian) Indian timber tree often used for furniture?,Teak,.37,.04,.26,.33,.00,16059,13892,10839,20636,
A,171.5,NA,NA,Who was Elton John's chief lyricist?,Bernie Taupin,.37,.05,.49,.09,.00,22554,11281,5855,13945,
A,171.5,NA,NA,"Which serial killer called himself ""Son of Sam""?",David Berkowitz,.37,.37,.11,.16,.00,20828,12289,25257,14242,
D,173.5,182,191,"Who is known as ""The Father of Geometry""?",Euclid,.36,.08,.41,.15,.00,10631,17897,8111,19240,
D,173.5,260,186,What was the name of the Union ironclad ship that fought the Confederate ironclad Merrimack?,Monitor,.36,.15,.30,.18,.00,12552,18434,13227,20739,
C,175,NA,NA,In 'Romeo and Juliet' who were the Montagues feuding with?,Capulets,.36,.31,.21,.09,.03,11248,17099,10769,17569,13876
B,177.5,NA,NA,"What is the last name of the actor who starred in ""Hart to Hart"" and ""Switch"" on TV and also in many movies?",Wagner,.35,.30,.26,.09,.00,19704,26555,11739,17514,
B,177.5,NA,NA,What do you call a person who collects and studies stamps?,Philatelist,.35,.19,.30,.17,.00,20061,12167,10722,9479,
B,177.5,NA,NA,What is the name of the river that runs through Rome?,Tiber,.35,.15,.35,.15,.00,18322,29232,9246,9626,
D,177.5,265,222,What is the name of the mountain range that separates Asia from Europe?,Ural,.35,.15,.13,.59,.00,10587,14281,7748,21818,
A,182.5,NA,NA,What was the 2001 event that led to the bankruptcy of a U.S. energy company and resulted in the dissolution of Arthur Anderson?,The Enron Scandal,.35,.12,.37,.16,.00,29993,20232,15233,29509,
A,182.5,NA,NA,"Whose autobiography is titled ""Lady Sings the Blues""?",Billie Holiday,.35,.18,.23,.25,.00,19102,15308,7420,17408,
A,182.5,NA,NA,What is the name of the Viking who discovered Greenland?,Erik the Red,.35,.05,.39,.21,.00,20313,7873,9053,16546,
A,182.5,NA,NA,What was Bob Dylan's birth name?,Robert Zimmerman,.35,.25,.30,.11,.00,17191,5963,4733,17168,
A,182.5,NA,NA,Where was the 1939 World's Fair held?,New York City,.35,.04,.25,.37,.00,14279,12441,7100,9086,
A,182.5,NA,NA,What did the irascible Ted Williams do in the final at bat of his 19-year major-league career?,Hit a home run,.35,.02,.46,.18,.00,19439,8705,10985,14000,
C,186,NA,NA,On top of which mountain was Moses given the Ten Commandments?,Sinai,.34,.18,.09,.36,.03,12419,21276,11509,22839,7730
B,188.5,NA,NA,What is the last name of the Cuban leader that Castro overthrew?,Batista,.33,.20,.35,.11,.00,21911,14789,10694,10976,
B,188.5,NA,NA,What is the name of the fountain in Rome into which coins are thrown for good luck?,Trevi,.33,.19,.33,.15,.00,13752,9282,9785,21725,
B,188.5,NA,NA,What was the English settlement that vanished in the late 1580s?,Roanoke,.33,.15,.31,.20,.00,26206,14714,9510,11927,
B,188.5,NA,NA,What do you call a moderately fast gait of a horse in which the legs move in diagonal pairs?,Trot,.33,.04,.17,.44,.02,11539,8628,8463,16664,17029
C,192,NA,NA,What is the term given to pure spiritual love which is devoid of carnal desires between members of opposite sexes?,Platonic,.33,.16,.18,.33,.00,21466,40394,24656,21349,
C,192,NA,NA,What was the disease known as the 'Black Plague'?,Bubonic,.33,.18,.09,.39,.01,15796,30330,12067,23670,29883
C,192,NA,NA,What was the last name of the person known as the 'desert fox',Rommel,.33,.25,.21,.19,.01,9243,18926,9501,22745,9786
D,195.5,199,209,What is the last name of the first person to climb Mount Everest?,Hillary,.32,.30,.33,.05,.00,14459,15809,9437,23883,
D,195.5,223,237,What is the last name of the British admiral who won the Battle of Trafalgar?,Nelson,.32,.18,.47,.03,.00,8790,33900,8005,13392,
D,195.5,235,210,What is the last name of the French author who wrote “The Stranger”?,Camus,.32,.05,.61,.03,.00,8231,24239,6837,10414,
D,195.5,267,229,"What is the last name of the man who created the comic strip ""Li'l Abner""?",Capp,.32,.21,.44,.03,.00,8744,16972,9153,12085,
A,198,NA,NA,To which continent is the yam native?,Africa,.32,.02,.21,.46,.00,12121,9624,7457,14907,
B,199.5,NA,NA,What word means to raise into position by means of a pulley?,Hoist,.31,.13,.35,.20,.00,13801,24273,16542,14042,
