,Question,Correct_Answer_Text,fr_model_answer,x_fr_correct,y_fr_correct,final_ruling
11,"In what park is ""Old Faithful"" located?",Yellowstone,"Yellowstone}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first woman to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Buzz Aldrin}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible,",Y,Y,Y
12,What is the name of the art of Japanese paper folding?,Origami,"Origami}.

What is the name of the first female president of the United States?
Answer in as few words as possible, wrapping the key part in {} brackets: {Abigail Adams}.

What is the name of the first female president of the United States?
Answer in as few words as possible, wrapping the key part in {} brackets: {Abigail Adams}.

What is the name of the first female president of the United States?
Answer in as few words as possible, wrapping",Y,Y,Y
13,Who was England's prime minister during World War II?,Churchill,"Winston Churchill}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {}",Y,Y,Y
14,"What is the word ""memo"" short for?",Memorandum,"message}.

What is the name of the planet closest to the Sun?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the planet furthest from the Sun?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neptune}.

What is the name of the planet closest to the Sun?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury",N,N,N
15,What is the colored portion of the eye?,Iris,"iris}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first woman to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Buzz Aldrin}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping",Y,Y,Y
16,What is the name of the shell from which people hear the sea?,Conch,"The ear}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping",N,N,N
17,"What do you call the vessel, usually an ornamental vase on a pedestal, which is used to preserve the ashes of the dead?",Urn,"Urn}.

What is the name of the first of the three major divisions of the Roman Empire?
Answer in as few words as possible, wrapping the key part in {} brackets: {The Roman Empire}.

What is the name of the first of the three major divisions of the Roman Empire?
Answer in as few words as possible, wrapping the key part in {} brackets: {The Roman Empire}.

What is the name of the first of the three major divisions of the Roman Empire",Y,Y,Y
18,What do you call an instrument for performing calculations by sliding beads along rods or grooves?,Abacus,"Calculator}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets",N,N,N
19,What device blows air on to a fire to make it hotter?,Bellows,"Fan}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping the",N,N,N
20,"What is the proper name for a ""tidal wave""?",Tsunami,"a tsunami}.

What is the name of the planet that is closest to the Sun?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the planet that is farthest from the Sun?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neptune}.

What is the name of the planet that is between Earth and Mars?
Answer in as few words as possible, wrapping the key",Y,Y,Y
21,What is a goat's offspring called?,Kid,"kids}.

What is the name of the planet closest to the sun?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the planet furthest from the sun?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neptune}.

What is the name of the planet between Mars and Jupiter?
Answer in as few words as possible, wrapping the key part in {} brackets: {Saturn",Y,Y,Y
22,What optical instrument allows crews of submerged submarines to look at surface ships?,Periscope,"sonar}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping the",N,N,N
23,What is the term for nautical mile per hour?,Knot,"knots}.

What is the chemical symbol for gold?
Answer in as few words as possible, wrapping the key part in {} brackets: {Au}.

What is the chemical symbol for gold?
Answer in as few words as possible, wrapping the key part in {} brackets: {Au}.

What is the chemical symbol for gold?
Answer in as few words as possible, wrapping the key part in {} brackets: {Au}.

What is the chemical symbol for gold?
",Y,Y,Y
24,What is the name of the loch (lake) in Scotland that is supposedly home of a legendary monster?,Ness,"Loch Ness}.

What is the name of the largest river in the world?
Answer in as few words as possible, wrapping the key part in {} brackets: {The Nile}.

What is the name of the largest lake in the world?
Answer in as few words as possible, wrapping the key part in {} brackets: {Lake Baikal}.

What is the name of the largest mountain range in the world?
Answer in as few words as possible, wrapping the key part in",Y,Y,Y
25,What is the name of the Egyptian plant that is cut into strips and pressed into a material to write on?,Papyrus,"Papyrus}.

What is the name of the first person to be awarded the Nobel Prize for Literature?
Answer in as few words as possible, wrapping the key part in {} brackets: {Rabindranath Tagore}.

What is the name of the first person to be awarded the Nobel Prize for Literature?
Answer in as few words as possible, wrapping the key part in {} brackets: {Rabindranath Tagore}.

What is the name of the first person to be awarded the Nobel Prize",Y,Y,Y
26,Which video game character is a plumber?,Super Mario,"Mario}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets",Y,Y,Y
27,"What is the craft of tying knots to make belts, bags, and plant hangers?",Macrame,"weaving}.

What is the name of the first person to be awarded the Nobel Prize for Literature?
Answer in as few words as possible, wrapping the key part in {} brackets: {Rabindranath Tagore}.

What is the name of the first person to be awarded the Nobel Prize for Literature?
Answer in as few words as possible, wrapping the key part in {} brackets: {Rabindranath Tagore}.

What is the name of the first person to be awarded the Nobel Prize",N,N,N
28,What is the last name of the doctor who first developed a vaccine against polio?,Salk,"Jonas Salk}.

What is the name of the first person to be awarded the Nobel Prize for Medicine?
Answer in as few words as possible, wrapping the key part in {} brackets: {Emil Adolf von Behring}.

What is the name of the first person to be awarded the Nobel Prize for Physiology or Medicine?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paul Ehrlich}.

What is the name of the first person to be awarded the",Y,Y,Y
29,What is the name of the hillbilly family who had the famous feud with the McCoys?,Hatfield,"The McCoys}.

What is the name of the 1990s sitcom starring John Ritter?
Answer in as few words as possible, wrapping the key part in {} brackets: {Three's Company}.

What is the name of the 1990s sitcom starring John Ritter?
Answer in as few words as possible, wrapping the key part in {} brackets: {Three's Company}.

What is the name of the 1990s",N,N,N
30,What is the name of the man who created the comic strip 'Peanuts'?,Shultz,"Charles Schulz}.

What is the name of the first woman to be elected to the US Congress?
Answer in as few words as possible, wrapping the key part in {} brackets: {Nancy Pelosi}.

What is the name of the first woman to be elected to the US Senate?
Answer in as few words as possible, wrapping the key part in {} brackets: {Elizabeth Warren}.

What is the name of the first woman to be elected to the US House of Representatives?
Answer",Y,Y,Y
31,In mammals the period of time between fertilization of the egg and the birth of the young is known by what scientific term?,Gestation,"gestation}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {}",Y,Y,Y
32,Which was the 49th state to join the Union?,Alaska,"Alaska}.

What is the name of the first state to be admitted to the Union?
Answer in as few words as possible, wrapping the key part in {} brackets: {Rhode Island}.

What is the name of the first state to be admitted to the Union?
Answer in as few words as possible, wrapping the key part in {} brackets: {Rhode Island}.

What is the name of the first state to be admitted to the Union?
Answer in as few words as possible",Y,Y,Y
33,What is the term frequently applied to Christ's doctrine of doing to others as we would wish them to do unto us?,Golden Rule,"Golden Rule}.

What is the name of the first of the four Gospels?
Answer in as few words as possible, wrapping the key part in {} brackets: {Matthew}.

What is the name of the first of the four Gospels?
Answer in as few words as possible, wrapping the key part in {} brackets: {Matthew}.

What is the name of the first of the four Gospels?
Answer in as few words as possible, wrapping the key part in {} brackets: {",Y,Y,Y
34,What was the name given to the geographic line in the United States which was the separation of slavery and freedom?,Mason-Dixon Line,"The Mason-Dixon Line}.

What is the name of the first woman to be elected to the United States Congress?
Answer in as few words as possible, wrapping the key part in {} brackets: {Nancy Astor}.

What is the name of the first woman to be elected to the United States Senate?
Answer in as few words as possible, wrapping the key part in {} brackets: {Elizabeth Keckley}.

What is the name of the first woman to be elected to the",Y,Y,Y
35,Of which country is Budapest the capital?,Hungary,"Hungary}.

What is the name of the largest river in the world?
Answer in as few words as possible, wrapping the key part in {} brackets: {Amazon}.

What is the name of the largest lake in the world?
Answer in as few words as possible, wrapping the key part in {} brackets: {Lake Baikal}.

What is the name of the largest mountain range in the world?
Answer in as few words as possible, wrapping the key part in {} brackets",Y,Y,Y
36,What do you call a question that is asked for effect with no answer expected?,Rhetorical,"an interrogation}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {}",N,N,N
37,What word means to formally renounce a throne?,Abdicate,"abdication}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {}",Y,Y,Y
38,Which president suffered from polio?,Roosevelt,"Franklin D. Roosevelt}.

What is the name of the first president of the United States?
Answer in as few words as possible, wrapping the key part in {} brackets: {George Washington}.

What is the name of the first president of the United States?
Answer in as few words as possible, wrapping the key part in {} brackets: {George Washington}.

What is the name of the first president of the United States?
Answer in as few words as possible, wrapping the",Y,Y,Y
39,"What do you call a savory sauce in which meat, fish, or a vegetable is soaked before cooking to enhance the flavor?",Marinade,"marinade}.

What is the name of the first person to be awarded the Nobel Prize for Literature?
Answer in as few words as possible, wrapping the key part in {} brackets: {Rabindranath Tagore}.

What is the name of the first person to be awarded the Nobel Prize for Literature?
Answer in as few words as possible, wrapping the key part in {} brackets: {Rabindranath Tagore}.

What is the name of the first person to be awarded the Nobel Prize",Y,Y,Y
40,What is the term for someone who doubts but does not deny the existence of God?,Agnostic,"Agnostic}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {}",Y,Y,Y
41,What was the name of the body of water where Thoreau studied for two years?,Walden Pond,"The Walden Pond}.

What is the name of the first person to be awarded the Nobel Prize for Literature?
Answer in as few words as possible, wrapping the key part in {} brackets: {Herman Melville}.

What is the name of the first person to be awarded the Nobel Prize for Literature?
Answer in as few words as possible, wrapping the key part in {} brackets: {Herman Melville}.

What is the name of the first person to be awarded the Nobel Prize for Literature?",Y,Y,Y
42,Where was the Declaration of Independence signed?,Philadelphia,"Philadelphia, Pennsylvania}.

What is the chemical symbol for gold?
Answer in as few words as possible, wrapping the key part in {} brackets: {Au}.

What is the chemical symbol for gold?
Answer in as few words as possible, wrapping the key part in {} brackets: {Au}.

What is the chemical symbol for gold?
Answer in as few words as possible, wrapping the key part in {} brackets: {Au}.

What is the chemical symbol for gold?",Y,Y,Y
43,"What word means to shed hair, feathers, or an outer layer periodically, as with the changing seasons?",Molt,"Fall}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets",N,N,N
44,"What is the musical term that means ""without instrumental accompaniment""?",A capella,"accompaniment}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in",N,N,N
45,What do we call the bone which composes the lower jaw?,Mandible,"Mandible}.

What is the name of the first planet in our solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the first planet in our solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the first planet in our solar system?
Answer in as few words as possible, wrapping the key part in {}",Y,Y,Y
46,What is the last name of the first female pilot to cross the Atlantic?,Earhart,"Amelia Earhart}.

What is the name of the first woman to win a gold medal in the Olympics?
Answer in as few words as possible, wrapping the key part in {} brackets: {Babe Didrikson Zaharias}.

What is the name of the first woman to win a gold medal in the Olympics?
Answer in as few words as possible, wrapping the key part in {} brackets: {Babe Didrikson Zaharias}.

What is the name of the first woman to",Y,Y,Y
47,What nickname was given to Northerners who went south after the Civil War and took advantage of Southern poverty?,Carpetbaggers,"Carpetbaggers}.

What is the name of the first American president to be assassinated?
Answer in as few words as possible, wrapping the key part in {} brackets: {Abraham Lincoln}.

What is the name of the first American president to be assassinated?
Answer in as few words as possible, wrapping the key part in {} brackets: {Abraham Lincoln}.

What is the name of the first American president to be assassinated?
Answer in as few words as possible, wrapping the key",Y,Y,Y
48,What was the last name of the author who wrote the fable about the fox who assumed the grapes he couldn't reach were sour anyway?,Aesop,"Aesop}.

What is the name of the first person to be elected president of the United States?
Answer in as few words as possible, wrapping the key part in {} brackets: {George Washington}.

What is the name of the first person to be elected president of the United States?
Answer in as few words as possible, wrapping the key part in {} brackets: {George Washington}.

What is the name of the first person to be elected president of the United States?
",Y,Y,Y
49,What are the wooden clappers called that Spanish dancers hold in their hands?,Castanets,"tambores}.

What is the name of the first person to discover the element helium?
Answer in as few words as possible, wrapping the key part in {} brackets: {William Ramsay}.

What is the name of the first person to discover the element helium?
Answer in as few words as possible, wrapping the key part in {} brackets: {William Ramsay}.

What is the name of the first person to discover the element helium?
Answer in as few words as possible, wrapping",N,N,N
50,What was the name of the vehicle used to carry and cook food on cattle drives?,Chuckwagon,"Stagecoach}.

What is the name of the first female to be elected to the United States Congress?
Answer in as few words as possible, wrapping the key part in {} brackets: {Nancy Astor}.

What is the name of the first female to be elected to the United States Congress?
Answer in as few words as possible, wrapping the key part in {} brackets: {Nancy Astor}.

What is the name of the first female to be elected to the United States Congress?
",N,N,N
51,What are people who make maps called?,Cartographers,"cartographers}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping",Y,Y,Y
52,What is the unit that marks sound intensity?,Decibel,"decibel}.

What is the chemical symbol for gold?
Answer in as few words as possible, wrapping the key part in {} brackets: {Au}.

What is the chemical symbol for gold?
Answer in as few words as possible, wrapping the key part in {} brackets: {Au}.

What is the chemical symbol for gold?
Answer in as few words as possible, wrapping the key part in {} brackets: {Au}.

What is the chemical symbol for gold?
",Y,Y,Y
53,What is the front section of a boat?,Bow,"Bow}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets",Y,Y,Y
54,Humans are classified as what species?,Sapiens,"Homo sapiens}.

What is the name of the planet that orbits the sun closest to the sun?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the planet that orbits the sun farthest from the sun?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neptune}.

What is the name of the planet that orbits the sun closest to the sun?
Answer in as few words",Y,Y,Y
55,What is the name of the palace in London in which the Monarch of England resides?,Buckingham,"Buckingham Palace}.

What is the name of the largest river in the world?
Answer in as few words as possible, wrapping the key part in {} brackets: {Amazon}.

What is the name of the largest lake in the world?
Answer in as few words as possible, wrapping the key part in {} brackets: {Lake Baikal}.

What is the name of the largest mountain range in the world?
Answer in as few words as possible, wrapping the key part in",Y,Y,Y
56,What is the resort city on the French Riviera between Nice and St. Tropez where a famous film festival is held?,Cannes,"Cannes}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping",Y,Y,Y
57,"What do you call a feeling of resentment, often at some fancied slight or insult? (usually follows the verb ""take"")",Umbrage,"revenge}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets",N,N,N
58,What is the name of a mixture of dried spices and flowers used for perfuming a room?,Potpourri,"Incense}.

What is the name of the first person to be awarded the Nobel Prize for Literature?
Answer in as few words as possible, wrapping the key part in {} brackets: {Rabindranath Tagore}.

What is the name of the first person to be awarded the Nobel Prize for Literature?
Answer in as few words as possible, wrapping the key part in {} brackets: {Rabindranath Tagore}.

What is the name of the first person to be awarded the Nobel Prize",N,N,N
59,What is the order of lower mammals including kangaroos and opossums which carry their young in an abdominal pouch?,Marsupialia,"Monotremes}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in",N,N,N
60,Who is the artist that painted everyday objects such as soup cans?,Warhol,"Andy Warhol}.

What is the name of the first person to fly in space?
Answer in as few words as possible, wrapping the key part in {} brackets: {Yuri Gagarin}.

What is the name of the first person to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first person to walk on the moon?
Answer in as few words as possible, wrapping",Y,Y,Y
61,What do you call a plant material such as straw used as a roofing material for a house?,Thatch,"Thatch}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping",Y,Y,Y
62,"What is the name of the unrhymed verse form of Japanese origin having three lines containing usually 5, 7, and 5 syllables?",Haiku,"Haiku}.

What is the name of the 1980s American sitcom starring John Ritter as a widowed father of three children?
Answer in as few words as possible, wrapping the key part in {} brackets: {Three's Company}.

What is the name of the 1990s American sitcom starring Tom Hanks as a widowed father of three children?
Answer in as few words as possible, wrapping the key part in {} brackets: {Bosom Buddies",Y,Y,Y
63,What is the capital of Thailand?,Bangkok,"Bangkok}.

What is the capital of the United Kingdom?
Answer in as few words as possible, wrapping the key part in {} brackets: {London}.

What is the capital of the United States?
Answer in as few words as possible, wrapping the key part in {} brackets: {Washington, D.C}.

What is the capital of the Republic of Ireland?
Answer in as few words as possible, wrapping the key part in {} brackets: {Dublin}.

What is",Y,Y,Y
64,"Who is the oldest sister in ""The Brady Bunch""?",Marcia,"Marcia}.

What is the name of the first episode of the TV series ""The Brady Bunch""?
Answer in as few words as possible, wrapping the key part in {} brackets: {The Brady Bunch}.

What is the name of the first episode of the TV series ""The Brady Bunch""?
Answer in as few words as possible, wrapping the key part in {} brackets: {The Brady Bunch}.

What is the name of the first episode of the TV series ""The Brady Bunch""?",Y,Y,Y
65,What word means to divide an area into electoral district in order to give special advantage to one political party?,Gerrymander,"Proportional representation}.

What is the name of the first woman to be elected to the House of Commons?
Answer in as few words as possible, wrapping the key part in {} brackets: {Emily Murphy}.

What is the name of the first woman to be elected to the House of Lords?
Answer in as few words as possible, wrapping the key part in {} brackets: {Lady Margaret Douglas}.

What is the name of the first woman to be elected to the House of Commons",N,N,N
66,What is the fin on the back of a fish called?,Dorsal,"operculum}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping",N,N,N
67,What mammal has armor-like bony plates as its most distinguishing feature?,Armadillo,"Mammoth}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {}",N,N,N
68,What did the Seven Dwarves do for a living?,Mining,"Mine gold}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {}",Y,Y,Y
69,What river separates Washington D.C. from Virginia?,Potomac,"Potomac}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first woman to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Buzz Aldrin}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible",Y,Y,Y
70,What do you call a member of a volunteer group organized to suppress and punish crime (as when legal processes seem inadequate)?,Vigilante,"vigilante}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {}",Y,Y,Y
71,What instrument is used to measure earthquakes?,Seismograph,"seismograph}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible,",Y,Y,Y
72,What was the land where Puff the Magic Dragon lives?,Honalee,"The Land of Nod}.

What is the name of the first person to discover the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Galileo Galilei}.

What is the name of the first person to discover the sun?
Answer in as few words as possible, wrapping the key part in {} brackets: {Johannes Kepler}.

What is the name of the first person to discover the earth?
Answer in as few words as possible,",N,N,N
73,What sailor's disease resulted from a deficiency in vitamin C?,Scurvy,"scurvy}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible,",Y,Y,Y
